"* Required Fields","* pakollinen"
"Action","Toiminto"
"Add Category","Lisää luokka"
"Add Comment","Lisää kommentti"
"Add Post","Lisää viesti"
"Advanced Options","Lisäasetukset"
"Advanced Post Options","Viestin lisäasetukset"
"All comments will appear immediately without the need for approval by admin.","Kaikki kommentit julkaistaan välittömästi ilman ylläpidon hyväksymistä."
"An error occured. Please try again","Tapahtui virhe. Yritä uudestaan."
"Approve","Hyväksy"
"Approved","Hyväksytty"
"Are you sure?","Vahvista toiminnon suorittaminen"
"Auto Approve Comments","Hyväksy kommentit automaattisesti"
"Blog Comment Manager","Blogin kommentit"
"Blog Manager","Blogin hallinta"
"Blog Post Manager","Blogiviestit"
"Blog Post Options","Blogin viestiasetukset"
"Blog Settings","Blogin asetukset"
"Blog Title","Blogin otsikko"
"Blog","Blogi"
"blog","blogi"
"By","Kirjoittanut"
"Categories","Luokat"
"Category Comment Manager","Kommenttien luokat"
"Category does not exist","Luokkaa ei ole"
"Category Information","Luokan tiedot"
"Category Manager","Blogin luokat"
"Category","Luokka"
"Change status","Muuta tila"
"click here","Paina tästä"
"Comment Information","Kommentin tiedot"
"Comment Manager","Kommentit"
"Comment Submitted","Kommentti on lähetetty"
"Comment was approved","Kommentti on julkaistu"
"Comment was successfully deleted","Kommentti on poistettu"
"Comment was successfully saved","Kommentti on tallennettu"
"Comment was unapproved","Kommentti on poistettu näkyvistä"
"Comment","Kommentti"
"Comments are Closed for this post","Kommentit on estetty tähän viestiin"
"Comments are not enabled.","Kommentit eivät ole käytössä."
"Comments per Page","Kommentteja per sivu"
"Comments","Kommentit"
"comments","kommentit"
"Content","Sisältö"
"Created at","Missä lisätty"
"Created on","Lisätty"
"Created","Lisätty"
"CSV","CSV"
"Date Format","Päivämäärän muoto"
"Default Posts Sorting","Viestien oletusjärjestys"
"Delete Category","Poista luokka"
"Delete Comment","Poista kommentti"
"Delete Post","Poista viesti"
"Delete","Poista"
"Description","Kuvaus"
"Disabled","Pois käytöstä"
"Disabling will close the post to new comments","Pois kytkeminen sulkee viestin uusilta kommenteilta"
"Duplicate Post","Monista viesti"
"Edit Category  '%s'","Luokan '%s' muokkaaminen"
"Edit Comment By '%s'","Asiakkaan '%s' kommentin muokkaaminen"
"Edit Post '%s'","Viestin '%s' muokkaaminen"
"Edit","Muokkaa"
"e.g. domain.com/blog/<b>identifier</b>","esim. osoite.fi/blog/<b>tunniste</b>"
"Must NOT contain any slashes. ""news"" makes the blog accessible from domain.com/news. Leave blank for default value.","EI saa sisältää vinoviivoja. ""uutiset""  ohjaa blogiin osoitteesta osoite.fi/uutiset. Tyhjä on oletusarvo."
"Email Address","Sähköpostiosoite"
"Email Sender","Sähköpostin lähettäjä"
"Email Template","Sähköpostin pohja"
"Email","Sähköposti"
"Enable Blog RSS Feed","Ota käyttöön blogin RSS-syöte"
"Enable Categories Menu","Ota käyttöön luokat -valikko"
"Enable Comments","Ota käyttöön kommentit"
"Enable Footer Link","Ota käyttöön alatunnisteessa"
"Enable Left Menu","Ota käyttöön vasemmassa valikossa"
"Enable ReCAPTCHA","Ota käyttöön ReCAPTCHA"
"Enable Right Menu","Ota käyttöön oikeassa valikossa"
"Enable Top Link","Ota käyttöön ylätunnisteessa"
"Enable","Ota käyttöön"
"Enabled","Käytössä"
"Error during generation sitemap","Virhe muodostettaessa sivukarttaa"
"Frequency","Aikaväli"
"Full","Täysi"
"Go to <a href=""http://www.google.com/recaptcha/whyrecaptcha"">http://www.google.com/recaptcha/whyrecaptcha</a> to get keys","Nouda avaimet osoitteesta <a href=""http://www.google.com/recaptcha/whyrecaptcha"">http://www.google.com/recaptcha/whyrecaptcha</a>"
"Google Sitemap","Google sivukartta"
"Hidden","Piilotettu"
"Home","Etusivu"
"ID","Tunniste"
"Identifier","Tunniste"
"If enabled, additional ""Short Content Field"" is taken instead of truncated main post.","Jos ""lyhyt kuvaus"" -kenttä otetaan käyttöön, käytetään sitä sen sijaan että lyhennettäisiin varsinaista viestiä."
"If enabled, all comments appear immediately without admin approval.","Kaikki kommentit julkaistaan välittömästi ilman ylläpidon hyväksymistä."
"Keywords","Asiasanat"
"Latest Posts","Viimeisimmät kirjoitukset"
