"The image below shows the available payment methods. You will be redirected to the Paytrail website when you place an order.","Kun teet tilauksen sinut ohjataan Paytrail -palveluun, josta voit valita jonkin alla olevista maksutavoista. Maksun jälkeen sinut ohjataan takaisin verkkokauppaan."
"You will be redirected to the Paytrail website when you place an order.","Kun teet tilauksen sinut ohjataan Paytrail -palveluun, josta voit valita maksutavan. Maksun jälkeen sinut ohjataan takaisin verkkokauppaan."
"You will be redirected to the payment service when you place an order.","Kun teet tilauksen, sinut ohjataan suoraan maksupalveluun. Maksun jälkeen sinut ohjataan takaisin verkkokauppaan."
"You will be redirected to the Paytrail website in a few seconds.","Odota hetki. Sinut ohjataan Paytrail -palveluun."
"Interface language","Käyttöliittymän kieli"
"The order was canceled, you have not been charged","Tilaus peruutettiin. Maksua ei veloitettu."
"New order email is sent","Uuden tilauksen sähköposti lähetetään"
"New invoice email is sent","Uuden laskun sähköposti lähetetään"
"When customer is redirected to Paytrail","Kun asiakas ohjataan Paytrail-maksutavan valintasivulle"
"When payment is successfully confirmed","Kun maksu on onnistuneesti vahvistettu"
"Never","Ei koskaan"
"Received Paytrail verification. %s payment method was used.","Vastaanotettu vahvistus Paytraililta. Käytetty maksutapa: %s."
"Received Paytrail verification. Unknown payment method was used.","Vastaanotettu vahvistus Paytraililta. Käytetty maksutapa: tuntematon."
"Paytrail verification failed","Vahvistus Paytraililta epäonnistui"
"Merchant ID","Kauppiastunnus"
"Secure Key","Kauppiasvarmenne"
"Finnish","Suomi"
"Swedish","Ruotsi"
"English","Englanti"
"Russian","Venäjä"
"Bypass Paytrail-service","Ohita Paytrail-palvelu"
"Show Paytrail-Logo in Checkout","Näytä Paytrail-logo maksutavoissa"
"Paytrail-Logo Width","Paytrail-logon leveys"
"Horizontal Display of Paytrail-Logo","Näytä Paytrail-logo pystysuunnassa"
"You will be redirected to the selected payment service in a few seconds.","Odota hetki. Sinut ohjataan valitsemaasi maksupalveluun."
"Bypass Paytrail Service","Ohita Paytrail-palvelu"
"Show Checkout Image","Näytä maksutapakuva"
"Checkout Image Columns","Maksutapakuvan sarakkeiden määrä"
"Horizontal Display of Checkout Image","Näytä maksutapakuva vaakasuunnassa."
"This is only available if you have separate contracts with each bank.","Tämä on valittavissa vain, jos pankkien kanssa on erilliset sopimukset"
"Number of bank logos displayed per row","Pankkikuvakkeiden lukumäärä yhdellä rivillä"
"Client redirected to the payment service","Käyttäjä ohjattiin maksupalveluun"
"An error occured, you have not been charged","Tapahtui virhe. Maksua ei veloitettu."
"If you are not getting redirecetd, Continue here","Jos et pääse eteenpäin, jatka tästä"
"Send order details to Paytrail","Lähetä tilauksen tarkat tiedot Paytrailille"
"Discount","Alennus"
"Correction","Korjaus"
"If you enable this feature all order items and customer data will be sent to Paytrail. This is needed for getting detailed reports from Paytrail and for using paymet methods that requires customer data like Klarna etc.","Jos laitat päälle tämän ominaisuuden, tilauksen rivit ja asiakastiedot lähetetään Paytrailille. Näitä tietoja tarvitaan Paytrailin tarkempaa raportointia varten sekä asiakastietoja vaativien maksutapojen käyttämiseen, kuten Klarna."
"Automatic pending order cancelation","Automaattinen odottavien tilausten peruuttaminen"
"By enabling this option you can set the life time for pending orders that hasn't been verified as paid.","Ottamalla käyttöön tämän toiminnon voit määrätä ajan kuinka kauan tilaus pysyy odottaa tilassa ennen kuin se perutaan, jos maksuvahvistusta ei saada."
"Pending order lifetime","Odottavan tilauksen elinkaari"
"Lifetime in days. After X days the order will be canceled automatically.","Elinkaari päivissä. X päivän jälkeen tilaus perutaan automaattisesti."
"Order canceled automatically after %s days","Tilaus peruttu automaattisesti %s päivän jälkeen"
"Order confirmation sent.","Tilausvahvistus lähetetty."
"Due to S-Pankki and LähiTapiola merger, the payment method can not be used after 26.10.2015","Koska S-Pankki ja LähiTapiola yhdistyvät, LähiTapiola-maksutapa lakkaa toimimasta 27.10"
"Luottokunta payment method no longer used, use Visa (Nets) and Mastercard (Nets) instead.","Luottokunta maksutapa ei ole enää käytössä, käytä sen sijaan Visa (Nets) ja MasterCard (Nets)."
"Send child products to Paytrail","Lähetä alituotteet Paytrailille"
"Normally parent product (e.g. bundle product) data is send to Paytrail. If you enable this the child product data is sent instead.","Normaalisti Paytraille välitetään päätuotteet (kuten yhdistelmätuote). Jos valitset tämän alituotteiden tiedot välitetään päätuotteen sijasta."
