"Cash on delivery prices","Postiennakon hinnat"
"Local destinations","Kotimaan toimituspisteet"
"Foreign destinations","Ulkomaiden toimituspisteet"
"Cash on delivery","Postiennakko"
"Enable Cash on delivery","Postiennakko päälle"
"MSP Cash on delivery prices - Local fee","MSP prezzi contrassegno - Importo nazionale"
"Add New Price Rule","Aggiungi nuova regola prezzo"
"MSP Cash on delivery prices - Foreign fee","MSP prezzi contrassegno - Importo estero"
"From amount","Importo a partire da"
"Apply fee","Applica prezzo"
"Apply from amount","Applica a partire dall'importo"
"Cash on delivery fee","Prezzo contrassegno"
"You will be charged an extra fee of %s","Postiennakkomaksu (%s) lisätään hintaan"
"You will be charged an extra fee of %s (Incl. Taxes %s)","Postiennakkomaksu (%s, sis. verot %s) lisätään hintaan"
"You will be charged an extra fee of %s Incl. Taxes","Postiennakkomaksu (%s, sis. verot) lisätään hintaan"
"Fee Amount","Prezzo aggiuntivo"
"Apply","Applica"
"Cash On Delivery", "Postiennakko"
"Cash on Delivery - %s (%d%%)","Postiennakko - %s (%d%%)"
"Cash on Delivery Tax (%d%%)","IVA sul constrassegno (%d%%)"
"Cash on Delivery Taxes","Tassazione contrassegno"
"Cash On Delivery Taxes","Tassazione contrassegno"
"Tax Class for Cash On Delivery","Classe di tassazione del Contrassegno"
"Display Cash On Delivery Amount","Mostra l'importo del contrassegno"
"This rule already exists, please select another amount","Questa regola è già stata inserita, selezionare un altro importo"
"Fixed Fee","Importo Fisso"
"Percentual Fee","Importo Percentuale"
"Rule was successfully saved","Regola prezzo salvata"
"Add Rule","Aggiungi regola prezzo"
"Edit Rule","Modifica regola prezzo"
"Standard local fixed fee", "Importo nazionale fisso standard "
"Standard foreign fixed fee", "Importo estero fisso standard"
"Calculate subtotal including shipping","Calcola il subtotale includendo la spedizione"
"Calculate subtotal including taxes","Calcola il subtotale includendo le tasse"
"Additional text displayed on the payment method selection","Testo aggiuntivo da mostrare nella selezione del pagamento"
"Cash on delivery price including taxes","Prezzo del contrassegno comprensivo di tasse"
