"Actions","Toiminnot"
"An error occurred while marking notification as read.","Merkittäessä ilmoitusta luetuksi tapahtui virhe."
"An error occurred while marking the messages as read.","Merkittäessä ilmoituksia luetuksi tapahtui virhe."
"An error occurred while removing messages.","Viestejä poistettaessa tapahtui virhe."
"An error occurred while removing the message.","Viestiä poistettaessa tapahtui virhe."
"Are you sure?","Vahvista toiminnon suorittaminen"
"Date Added","Lisätty"
"Last Update","Viimeisin päivitys"
"Mark as Read","Merkitse luetuksi"
"Mark as read","Merkitse luetuksi"
"Message","Viesti"
"Messages Inbox","Saapuneet ilmoitukset"
"Notifications","Ilmoitukset"
"Please select messages.","Valitse viestit."
"Read Details","Lue lisää"
"Remove","Poista"
"Severity","Tärkeys"
"Show List","Näytä luettelo"
"Show Toolbar","Näytä työkalupalkki"
"The message has been marked as read.","Viesti on merkitty luetuksi."
"The message has been removed.","Viesti on poistettu."
"Total of %d record(s) have been marked as read.","Yhteensä %d viestiä on merkitty luetuksi."
"Total of %d record(s) have been removed.","Yhteensä %d tietuetta on poistettu."
"Unable to proceed. Please, try again.","Suoritus ei onnistunut. Yritä uudestaan."
"Update Frequency","Päivitysten aikaväli"
"Use HTTPS to Get Feed","Käytä HTTPS syötteen noutamiseen"
"Wrong message type","Virheellinen viestityyppi"
"critical","kriittinen"
"major","korkea"
"minor","toissijainen"
"notice","huomio"
