" The customer does not exist in the system anymore."," Asiakastietoja ei enää ole verkkokaupassa."
" [deleted]"," [poistettu]"
" and "," ja "
"%s (Default Template from Locale)","%s (Oletuspohja oletustiedostoista)"
"%s cache type(s) disabled.","%s välimuistityyppiä on poistettu käytöstä."
"%s cache type(s) enabled.","%s välimuistityyppiä on kytketty päälle."
"%s cache type(s) refreshed.","%s välimuistityyppiä on päivitetty."
"%s order(s) successfully deleted","%s tilausta on poistettu."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(""Paikallinen palvelin"" -tyyppi vaatii suhteellisen polun Magenton asennukseen var/export tai var/import, esim. var/export, var/import, var/export/joku/hakemisto, var/import/joku/hakemisto)"
"(For US 2-letter state names)","(Yhdysvalloissa 2-kirjaimiset osavaltioiden nimet)"
"(If left empty will be auto-generated)","(Tyhjänä muodostetaan automaattisesti)"
"(Leave empty for first spreadsheet)","(Tyhjänä huomioi taulukon ensimmäisen välilehden)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Tuotteet lisätään tai päivitetään tähän kauppaan kun 'kauppa' -sarake on tyhjä tai puuttu tuotavasta tiedostosta.)"
"(Shift-)Click or drag to change value","(Vaihtonäppäin)-klikkaaminen tai vetäminen muuttaa arvon"
"(Starting with)","(Alkaen)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Kun valitaan 'Ei', vain kartoitetut kentät tuodaan. Kun kartoitus, käytä 'sarake1', 'sarake2', jne.)"
"(You have to increase php memory_limit before changing this value)","(Ennen tämän arvon muuttamista on php memory_limit -arvoa lisättävä)"
"(\t for tab)","(\t on sarkain)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Jos indeksointi on jo käynnissä, se lopetetaan ja aloitetaan uusi indeksointi."
"* Required Fields","* pakollinen"
"- Click on any of the time parts to increase it","- Paina mitä tahansa ajan osaa lisätäksesi sitä"
"- Hold mouse button on any of the above buttons for faster selection.","- Pidä hiiren painiketta alhaalla millä tahansa yllä olevilla painikkeilla tehdäksesi valinnan nopeammin."
"- Use the %s buttons to select month","- Käytä painikkeita %s kuukauden valintaan"
"- Use the %s, %s buttons to select year","- Käytä painikkeita %s, %s vuoden valintaan"
"- or Shift-click to decrease it","- tai vaihtonäppäin-klikkaa vähentääksesi sitä"
"- or click and drag for faster selection.","- tai valitse ja vedä valitaksesi nopeammin."
"-- Not Selected --","-- Ei valittu --"
"-- Please Select --","-- Valitse --"
"-- Please Select Billing Agreement--","-- Valitse maksusopimus --"
"-- Please Select a Category --","-- Valitse kategoria --"
"-- Please select --","-- Valitse --"
"--Please Select--","--Valitse--"
"1 Hour","1 tunti"
"12 Hours","12 tuntia"
"12h AM/PM","12t AM/PM"
"2 Hours","2 tuntia"
"24 Hours","24 tuntia"
"24h","24t"
"2YTD","Tämä ja viime vuosi"
"6 Hours","6 tuntia"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 virhe</h1><p>Sivua ei löytynyt.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> pyytää päästä tilillesi."
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Huom!</strong> Captcha erottelee pienet ja isot kirjaimet."
"A user with the same user name or email aleady exists.","Samalla käyttäjätunnuksella tai sähköpostiosoitteella on jo asiakas."
"API Key","API avain"
"API Key Confirmation","API avaimen vahvistaminen"
"ASCII","ASCII "
"Abandoned Carts","Hylätyt ostoskorit"
"About the calendar","Tietoja kalenterista"
"Access Denied","Pääsy estetty"
"Access denied","Pääsy estetty"
"Access denied.","Pääsy estetty."
"Account Created in:","Tilin kieli:"
"Account Created on (%s):","Tili lisätty kohteessa (%s):"
"Account Created on:","Tili perustettu:"
"Account Information","Tilin tiedot"
"Account Status","Tilin tila"
"Account status","Tilin tila"
"Action","Toiminto"
"Actions","Toiminnot"
"Actions XML","Toimintojen XML"
"Active","Käytössä"
"Add","Lisää"
"Add Exception","Lisää poikkeus"
"Add Field Mapping","Lisää kenttä"
"Add Field with URL:","Lisää kenttä URL-osoitteella:"
"Add New","Lisää uusi"
"Add New Image","Lisää uusi kuva"
"Add New Profile","Lisää uusi profiili"
"Add New Role","Lisää uusi rooli"
"Add New Template","Lisää uusi pohja"
"Add New URL Rewrite","Lisää uusi uudelleenohjaus"
"Add New User","Lisää uusi käyttäjä"
"Add New Variable","Lisää uusi muuttuja"
"Add Products","Lisää tuotteita"
"Add URL Rewrite","Lisää uudelleenohjaus"
"Add URL Rewrite for a Category","Lisää uudelleenohjaus luokalle"
"Add URL Rewrite for a Product","Lisää uudelleenohjaus tuotteelle"
"Add after","Lisää jälkeen"
"Additional Cache Management","Välimuistin lisäasetukset"
"Address Type:","Osoitteen tyyppi:"
"Admin","Ylläpito"
"Advanced Admin Section","Ylläpidon erityisasetukset -osio"
"Advanced Profiles","Vaativammat profiilit"
"Advanced Section","Erityisasetukset -osio"
"After authorization application will have access to you account.","Vahvistuksen jälkeen sovelluksella on pääsy tilillesi."
"aheadWorks Blog Section","aheadWorks Blogi -osio"
"All","Kaikki"
"All Allowed Countries","Kaikki sallitut maat"
"All Cache","Kaikki välimuistit"
"All Files","Kaikki tiedostot"
"All Reviews","Kaikki arvostelut"
"All Store Views","Kaikki kauppanäkymät"
"All Tags","Kaikki asiasanat"
"All Websites","Kaikki sivustot"
"All countries","Kaikki maat"
"All fields","Kaikki kentät"
"All possible rates were fetched, please click on ""Save"" to apply","Kaikki mahdolliset valuuttakurssit noudettiin, ota käyttöön painamalla ""Tallenna valuuttakurssit"""
"All rates were fetched, please click on ""Save"" to apply","Kaikki valuuttakurssit on noudettu. Ota käyttöön painamalla ""Tallenna valuuttakurssit"". "
"All valid rates have been saved.","Kaikki voimassa olevat valuuttakurssit on tallennettu."
"Always (during development)","Aina (kehityksen aikana)"
"Amounts","Liikevaihto"
"An error has occured while syncronizing media storages.","Mediavarastoja synkronoitaessa tapahtui virhe."
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript/CSS välimuistia tyhjennettäessä tapahtui virhe."
"An error occurred while clearing the image cache.","Kuvavälimuistia tyhjennettäessä tapahtui virhe."
"An error occurred while deleting URL Rewrite.","Uudelleenohjausta poistettaessa tapahtui virhe."
"An error occurred while deleting email template data. Please review log and try again.","Sähköpostipohjan tietoja poistettaessa tapahtui virhe. Katso syytä lokista ja yritä uudestaan. "
"An error occurred while deleting record(s).","Tietuetta poistettaessa tapahtui virhe."
"An error occurred while deleting this role.","Roolia poistettaessa tapahtui virhe."
"An error occurred while deleting this set.","Kokoelmaa poistettaessa tapahtui virhe."
"An error occurred while deleting this template.","Pohjaa poistettaessa tapahtui virhe."
"An error occurred while finishing process. Please refresh the cache","Prosessia viimeisteltäessä tapahtui virhe. Päivitä välimuisti."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Luettelon varaston tilaa uudelleenrakennettaessa tapahtui virhe."
"An error occurred while rebuilding the catalog index.","Luettelon indeksiä uudelleenrakennettaessa tapahtui virhe."
"An error occurred while rebuilding the flat catalog category.","Tasoitettua luetteloa luokista uudelleenrakennettaessa tapahtui virhe."
"An error occurred while rebuilding the flat product catalog.","Tasoitettua luetteloa tuotteista uudelleenrakennettaessa tapahtui virhe."
"An error occurred while rebuilding the search index.","Hakuindeksiä uudelleenrakennettaessa tapahtui virhe."
"An error occurred while refreshing the Catalog Rewrites.","Luettelon uudelleenohjauksia päivitettäessä tapahtui virhe."
"An error occurred while refreshing the Layered Navigation indices.","Kerroksittaisen navigaation indeksejä päivitettäessä tapahtui virhe."
"An error occurred while refreshing the catalog rewrites.","Luettelon uudelleenohjauksia päivitettäessä tapahtui virhe."
"An error occurred while refreshing the layered navigation indices.","Kerroksittaisen navigaation indeksejä päivitettäessä tapahtui virhe."
"An error occurred while saving URL Rewrite.","Tallennettaessa uudelleenohjauksia tapahtui virhe."
"An error occurred while saving account.","Tiliä tallennettaessa tapahtui virhe."
"An error occurred while saving review.","Arvostelua tallennettaessa tapahtui virhe."
"An error occurred while saving the customer.","Asiakasta tallennettaessa tapahtui virhe."
"An error occurred while saving this configuration:","Seuraavaa asetusta tallennettaessa tapahtui virhe:"
"An error occurred while saving this role.","Roolia tallennettaessa tapahtui virhe."
"An error occurred while saving this template.","Pohjaa tallennettaessa tapahtui virhe."
"An error occurred while updating the selected review(s).","Valittuja arvosteluja päivitettäessä tapahtui virhe."
