"%s","%s"
"%s role is a special one and can\'t be changed.","%s rooli on erityinen ja sitä ei voi muuttaa."
"%s role is a special one and can\'t be deleted.","%s rooli on erityinen ja sitä ei voi poistaa."
"%s role is protected.","%s rooli on suojattu."
"ACL Attribute Rules","ACL ominaisuussäännöt"
"ACL Attributes Information","ACL ominaisuustiedot"
"Add","Lisää"
"Add Admin Role","Lisää ylläpitäjän rooli"
"Add New Role","Lisää uusi rooli"
"Address Type","Osoitteen tyyppi"
"Admin","Ylläpito"
"Allow","Salli"
"An error occurred while deleting the role.","Roolia poistettaessa tapahtui virhe."
"An error occurred while saving attribute rules.","Ominaisuuksien sääntöjä tallennettaessa tapahtui virhe."
"An error occurred while saving role.","Roolia tallennettaessa tapahtui virhe."
"Api Rules Information","Api sääntöjen tiedot"
"Assigned","Asetettu"
"Associate to Website","Yhdistä sivustoon"
"Attribute Rules Information","Ominaisuuksien sääntöjen tiedot"
"Attribute Set","Ominaisuuskokoelma"
"Attributes","Ominaisuudet"
"Automatically Return Credit Memo Item to Stock","Palauta automaattisesti hyvitetyt tuotteet varastoon"
"Back","Takaisin"
"Backorders","Jälkitoimitukset"
"Base Currency","Oletusvaluutta"
"Base Customer Balance","Asiakkaan perussaldo"
"Base Discount","Perusalennus"
"Base Discount Amount","Alennuksen perusmäärä"
"Base Item Subtotal","Tuotteen perusvälisumma"
"Base Item Subtotal Including Tax","Tuotteen verollinen perusvälisumma"
"Base Original Price","Alkuperäinen perushinta"
"Base Price","Perushinta"
"Base Price Including Tax","Verollinen perushinta"
"Base Shipping","Perustoimituskulut"
"Base Shipping Discount","Toimituksen perusalennus"
"Base Shipping Tax","Toimituksen perusvero"
"Base Subtotal","Perusvälisumma"
"Base Subtotal Including Tax","Verollinen perusvälisumma"
"Base Tax Amount","Perusveromäärä"
"Base Total Due","Maksamaton perusloppusumma"
"Base Total Paid","Maksettu perusloppusumma"
"Base Total Refunded","Hyvitetty perusloppusumma"
"Buy Now URL","Osta nyt -osoite"
"Can Be Divided into Multiple Boxes for Shipping","Voidaan jakaa useampaan toimituserään"
"Canceled Qty","Peruttujen määrä"
"Catalog","Luettelo"
"Catalog Product","Luettelotuote"
"CatalogInventory","CatalogInventory"
"Category ID","Luokan tunniste"
"City","Postitoimipaikka"
"Company","Yritys"
"Country","Maa"
"Coupon Code","Kupongin koodi"
"Create","Lisää"
"Create Permanent Redirect for old URL","Lisää pysyvä uudelleenohjaus vanhaan URL-osoitteeseen"
"Created From","Lisätty kohteesta"
"Customer","Asiakas"
"Customer Address","Asiakkaan osoite"
"Customer Address ID","Asiakkaan osoitteen tunniste"
"Customer Balance","Asiakkaan saldo"
"Customer First Name","Asiakkaan etunimi"
"Customer ID","Asiakkaan tunniste"
"Customer Last Name","Asiakkaan sukunimi"
"Customer Middle Name","Asiakkaan toinen etunimi"
"Customer Prefix","Asiakkaan etuliite"
"Customer Suffix","Asiakkaan loppuliite"
"Default Image","Oletuskuva"
"Delete","Poista"
"Deny","Estä"
"Disable automatic group change based on VAT ID","Poista käytöstä automaattinen y-tunnisteeseen perustuva ryhmän vaihto"
"Discount","Alennus"
"Discount Amount","Alennuksen määrä"
"Discount Description","Alennuksen kuvaus"
"Edit","Muokkaa"
"Edit %s ACL attribute rules","Muokataan %s ACL ominaisuussääntöjä"
"Edit Role","Muokkaa roolia"
"Edit attribute rules for %s Role","Muokataan roolin %s ominaisuussääntöjä"
"Email","Sähköposti"
"Enable Qty Increments","Erämyynti"
"Exclude","Sulje pois"
"File Content","Tiedoston sisältö"
"File MIME Type","Tiedoston MIME-tyyppi"
"File Name","Tiedoston nimi"
"Final Price With Tax","Lopullinen verollinen hinta"
"Final Price Without Tax","Lopullinen veroton hinta"
"First Name","Etunimi"
"Gift Message","Lahjaviesti"
"Grand Total","Loppusumma"
"Grand Total to Be Charged","Veloitettava loppusumma"
"Group","Ryhmä"
"Guest","Vieras"
"Has Custom Options","Sisältää muokattavia vaihtoehtoja"
"ID","Tunniste"
"Inventory Data","Varastotiedot"
"Invoiced Qty","Laskutettu määrä"
"Is Confirmed","Vahvistettu"
"Is Default Billing Address","Oletusmaksuosoite"
"Is Default Shipping Address","Oletustoimitusosoite"
"Item ID","Tuotteen tunniste"
"Item Subtotal","Tuotteen välisumma"
"Item Subtotal Including Tax","Tuotteen verollinen välisumma"
"Label","Nimi"
"Last Logged In","Viimeisin kirjautuminen"
"Last Name","Sukunimi"
"Low Stock Date","Alhaisen varaston päivämäärä"
"Manage Stock","Varastonhallinta"
"Maximum Qty Allowed in Shopping Cart","Ostoskorin enimmäistuotemäärä"
"Minimum Qty Allowed in Shopping Cart","Ostoskorin vähimmäistuotemäärä"
"New Role","Uusi rooli"
"Notify for Quantity Below","Ilmoita kun 'Määrä alle'"
"OAuth","OAuth "
"Order","Tilaus"
"Order Addresses","Tilauksen osoitteet"
"Order Comments","Tilauksen kommentit"
"Order Currency","Tilauksen valuutta"
"Order Date","Tilauspäivä"
"Order ID","Tilausnumero"
"Order ID (internal)","Tilausnumero (sisäinen)"
"Order Item ID","Order Item ID"
"Order Items","Tilauksen tuotteet"
"Order Status","Tilauksen tila"
"Ordered Qty","Tilattu määrä"
"Orders","Tilaukset"
"Original Price","Alkuperäinen hinta"
"Parent Order Item ID","Parent Order Item ID"
"Payment Method","Maksutapa"
"Phone Number","Puhelinnumero"
"Placed from IP","Tehty IP-osoitteesta"
"Please enter a valid number in ""max_sale_qty"" field","Kirjoita numero kenttään ''''max_sale_qty''''"
