"--Please Select--","--Valitse--"
"API Login ID","API Sisäänkirjautumistunnus"
"Accepted Currency","Hyväksytty valuutta"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Kortin varmennusnumero"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Close","Sulje"
"Credit Card Information","Luottokortin tiedot"
"Credit Card Number","Luottokortin numero"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Types","Luottokorttityypit"
"Credit Card Verification","Luottokortin varmistaminen"
"Debug","Virheiden haku (debug)"
"Email Customer","Asiakkaan sähköposti"
"Enabled","Käytössä"
"Expiration Date","Viimeinen voimassaolopäivä"
"Gateway URL","Yhdyskäytävän URL-osoite"
"Maximum Order Total","Enimmäistilaussumma"
"Merchant MD5","Kauppiaan MD5"
"Merchant's Email","Kauppiaan sähköposti"
"Minimum Order Total","Vähimmäistilaussumma"
"New Order Status","Uusi tilauksen tila"
"Order saving error: %s","Tilauksen tallennusvirhe: %s"
"Payment Action","Maksutoiminto"
"Payment authorization error.","Maksun varmentamisvirhe."
"Payment authorization error. Transacion id is empty.","Maksun varmentamisvirhe. Toimeksiantotunniste on tyhjä."
"Payment error. Order was not found.","Maksuvirhe. Tilausta ei löytynyt."
"Payment error. Paid amount doesn't match the order amount.","Maksuvirhe. Maksettu summa ei täsmää tilauksen summan kanssa."
"Payment from Applicable Countries","Maksu sallitaan käytettävissä olevista maista"
"Payment from Specific Countries","Maksu vain seuraavista maista"
"Please, choose payment method","Valitse maksutapa"
"Response hash validation failed. Transaction declined.","Response hash validation failed. Transaction declined."
"Sort Order","Järjestys"
"Test Mode","Testitila"
"The order has been created.","Tilaus on lisätty."
"There was an error processing your order. Please contact us or try again later.","Tilauksen käsittelyssä tapahtui virhe. Ota yhteyttä asiakaspalveluun tai yritä myöhemmin uudestaan."
"Title","Nimi"
"Transaction Key","Maksutapahtuman avain"
"What is this?","Mikä tämä on?"
"You will be required to enter your payment details before you place an order.","Ennen tilauksen jättämistä sinun on annettava maksutiedot."
