"* Required Fields","* pakollinen"
"-- Select --","--Valitse--"
"Add New Option","Lisää uusi vaihtoehto"
"Add Selection","Lisää valinta"
"As Low as","Niin alhainen kuin"
"As low as","Niin alhainen kuin"
"Bundle Items","Yhdistelmätuotteen tuotteet"
"Bundle Product","Yhdistelmätuote"
"Buy %1$s with %2$s discount each","Osta %1$ tuotteiden %2$ kanssa, jolloin saat jokaisesta alennusta"
"Catalog Product View (Bundle)","Luettelon tuotenäkymä (yhdistelmätuote)"
"Checkbox","Valintaruutu"
"Choose a selection...","Valitse..."
"Close","Sulje"
"Default","Oletus"
"Default Qty","Oletetusmäärä"
"Default Title","Oletusotsikko"
"Drop-down","Alasvetovalikko"
"Dynamic","Muuttuva"
"Excl. Tax","Veroton"
"Fixed","Kiinteä"
"From","Alkaen"
"From:","Mistä:"
"Gift Message","Lahjaviesti"
"Incl. Tax","Verollinen"
"Input Type","Syöttömuoto"
"Is Required","Pakollinen"
"Message:","Viesti:"
"Multiple Select","Monivalinta"
"N/A","ei saatavilla"
"No options of this product are available.","Tälle tuotteelle ei ole saatavilla vaihtoehtoja."
"None","Ei mitään"
"Percent","Prosenttia"
"Percent Discount","Prosentuaalinen alennus"
"Please Select Products to Add","Valitse lisättävät tuotteet"
"Please enter a number greater 0 in this field.","Kirjoita suurempi numero kuin nolla."
"Please enter search conditions to view products.","Kirjoita hakuehdot tuotteiden näyttämiseksi."
"Please select options for product.","Valitse tuotteen vaihtoehdot."
"Please specify product option(s).","Valitse tuotteen vaihtoehdot."
"Position","Sijainti"
"Price Range","Hintahaarukka"
"Price Type","Hintatyyppi"
"Price as configured","Kokoonpanon hinta"
"Qty:","Määrä:"
"Radio Buttons","Radiopainikkeet"
"Required options are not selected.","Vaadittuja vaihtoehtoja ei ole valittu."
"Selected required options are not available.","Valitut vaaditut vaihtoehdot eivät ole käytettävissä."
"Separately","Erikseen"
"Ship Bundle Items","Lähetä yhdistelmätuotteen tuotteet"
"Shipment","Toimitus"
"Store View Title","Kauppanäkymän otsikko"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","Tämä tuote on myös osa yhdistelmätuotetta."
"To","Päättyen"
"To:","Mihin:"
"Together","Yhdessä"
"Use Default Value","Käytä oletusarvoa"
"User Defined Qty","Käyttäjän antama määrä"
