"# of Use"," käyttökertaa"
"%1$s incl tax.","%1$s (verollinen)"
"%s - %s","%s - %s"
"%s Item(s)","%s kohdetta"
"%s and above","%s ja yli"
"(%d)","(%d) "
"(Copy data from: %s)","(Kopioi tiedot kohteesta: %s)"
"* Required Fields","* pakollinen"
"-- Please Select --","-- Valitse --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Jos ei aseteta, käytetään oletuksena 86400. Välitön päivitys tehdään tyhjentämällä Blocks HTML Output -välimuisti."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Varoitus!</strong> Asettamalla MAP oletukseksi piilottaa se kaikki tuotteiden hinnat kaupan puolella."
"A group with the same name already exists.","Samalla nimellä on jo ryhmä."
"A name is required","Nimi on pakollinen."
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","KAIKKI RYHMÄT"
"AM","AM"
"Action","Toiminto"
"Actual Price","Todellinen hinta"
"Add","Lisää"
"Add Attribute","Lisää ominaisuus"
"Add Design Change","Lisää ulkoasun muutos"
"Add Group","Lisää ryhmä"
"Add Group Price","Lisää ryhmähinta"
"Add New","Lisää uusi"
"Add New Attribute","Lisää uusi ominaisuus"
"Add New Attribute Set","Lisää uusi ominaisuuskokoelma"
"Add New Group","Lisää uusi ryhmä"
"Add New Images","Lisää uusia kuvia"
"Add New Option","Lisää uusi vaihtoehto"
"Add New Row","Lisää uusi rivi"
"Add New Search Term","Lisää uusi hakusana"
"Add New Set","Lisää uusi kokoelma"
"Add Product","Lisää tuote"
"Add Product To Websites","Lisää tuote sivustoille"
"Add Root Category","Lisää juuriluokka"
"Add Subcategory","Lisää alaluokka"
"Add Tax","Lisää vero"
"Add Tier","Lisää määrähinta"
"Add attribute into attribute set","Lisää ominaisuus ominaisuuskokoelmaan"
"Add group into attribute set","Lisää ryhmä ominaisuuskokoelmaan"
"Add new custom option into product","Lisää uusi muokattu vaihtoehto tuotteelle"
"Add new values into custom option","Lisää uusia arvoja muokatulle vaihtoehdolle"
"Add option","Lisää vaihtoehto"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
