"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d luettelon hintasääntöä, jotka perustuvat ""%s"" -ominaisuuteen on kytketty pois."
"Actions","Toiminnot"
"Active","Käytössä"
"Add New Rule","Lisää uusi sääntö"
"An error occurred while deleting the rule. Please review the log and try again.","Sääntöä poistettaessa tapahtui virhe. Katso lisätietoa lokista ja yritä uudestaan."
"An error occurred while saving the rule data. Please review the log and try again.","Sääntötietoja tallennettaessa tapahtui virhe. Katso lisätietoa lokista ja yritä uudestaan."
"Apply","Ota käyttöön"
"Apply Rules","Ota säännöt käyttöön"
"Attribute Set","Ominaisuuskokoelma"
"By Fixed Amount","Kiinteällä määrällä"
"By Percentage of the Original Price","Prosenttiosuus alkuperäisestä hinnasta"
"Catalog","Luettelo"
"Catalog Price Rule","Luettelon hintasääntö"
"Catalog Price Rules","Luettelon hintasäännöt"
"Category","Luokka"
"Conditions","Ehdot"
"Conditions (leave blank for all products)","Ehdot (jätä tyhjäksi kaikille tuotteille)"
"Conditions Combination","Ehtojen yhdistelmä"
"Customer Groups","Asiakasryhmät"
"Date Expire","Päättymispäivä"
"Date From","Päivämäärästä"
"Date Start","Alkamispäivä"
"Date To","Päivämäärään"
"Description","Kuvaus"
"Discount Amount","Alennuksen määrä"
"Edit Rule","Muokkaa sääntöä"
"Edit Rule '%s'","Muokkaa sääntöä '%s'"
"Enable Discount to Subproducts","Ota alennus käyttöön alatuotteisiin"
"From Date","Alkaen"
"General Information","Yleistiedot"
"ID","Tunniste"
"Inactive","Ei käytössä"
"New Rule","Uusi sääntö"
"No","Ei"
"Options","Vaihtoehdot"
"Priority","Tärkeys"
"Product Attribute","Tuoteominaisuus"
"Promotions","Kampanjat"
"Rule Information","Säännön tiedot"
"Rule Name","Säännön nimi"
"Save and Apply","Tallenna ja ota käyttöön"
"Save and Continue Edit","Tallenna ja jatka muokkausta"
"Status","Tila"
"Stop Further Rules Processing","Keskeytä sääntöjen käsittely WK?"
"The rule has been deleted.","Sääntö on poistettu."
"The rule has been saved.","Sääntö on tallennettu."
"The rules have been applied.","Sääntö on otettu käyttöön."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Löytyi muutettuja sääntöjä, joita ei ole otettu käyttöön. Valitse 'Ota sääntöjä käyttöön' nähdäksesi välitön vaikutus luetteloon."
"This rule no longer exists.","Sääntöä ei enää ole."
"To Date","Päättyen"
"To Fixed Amount","Kiinteään määrään"
"To Percentage of the Original Price","Prosenttiosuuteen alkuperäisestä hinnasta"
"Unable to apply rules.","Sääntöjen käyttöönotto ei onnistu."
"Unable to find a rule to delete.","Poistettavaa sääntöä ei löydy."
"Update Prices Using the Following Information","Päivitä hinnat käyttäen seuraavia tietoja"
"Update product's %s %s: %s","Päivitä tuotteen %s %s: %s"
"Website","Sivusto"
"Websites","Sivustot"
"Wrong rule specified.","Sääntö on määritelty virheellisesti."
"Yes","Kyllä"
"Customer Registered: %s","Asiakas on rekisteröitynyt: %s"
"Customer is a New Buyer: %s","Asiakas on uusi ostaja: %s"
"Delete Rule","Poista sääntö"
"Description: %s","Kuvaus: %s"
"Expire at: %s","Päättyy: %s"
"NOT LOGGED IN","EI SISÄÄNKIRJAUTUNEENA"
"Name: %s","Nimi: %s"
"Save Rule","Tallenna sääntö"
"Start at: %s","Alkaa: %s"
