"A block identifier with the same properties already exists in the selected store.","Valitussa kaupassa on samoilla ominaisuuksilla jo olemassa sisältölohkon tunniste."
"A directory with the same name already exists. Please try another folder name.","Samalla nimellä on jo hakemisto. Valitse toinen nimi."
"A page URL key for specified store already exists.","Valitussa kaupassa on jo olemassa sivun URL-avain."
"Action","Toiminto"
"Add New Block","Lisää uusi sisältölohko"
"Add New Page","Lisää uusi sivu"
"All Countries","Kaikki maat"
"An error occurred while saving the page.","Sivua tallennettaessa tapahtui virhe."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Poistetaanko hakemisto?"
"Are you sure you want to delete the selected file?","Poistetaanko valittu tiedosto?"
"Block","Sisältölohko"
"Block Information","Sisältölohkon tiedot"
"Block Title","Sisältölohkon otsikko"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS kotisivu"
"CMS No Cookies Page","CMS Ei evästeitä -sivu"
"CMS No Route Page","CMS Ei löydy -sivu"
"CMS No-Route Page","CMS Sivua ei löydy -sivu"
"CMS Page","CMS sivu"
"CMS Page Link","CMS Sivulinkki"
"CMS Page Link Block Template","CMS Sivulinkki -sisältölohkon mallipohja"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","CMS Sivut (kaikki)"
"CMS Static Block","CMS muuttumaton sisältölohko"
"CMS Static Block Default Template","CMS muuttumaton sisältölohko oletusmallipohja"
"Cannot create new directory.","Uutta hakemistoa ei voi lisätä."
"Cannot delete directory %s.","Hakemistoa %s ei voi poistaa."
"Cannot delete root directory %s.","Juurihakemistoa %s ei voi poistaa."
"Cannot upload file.","Tiedostoa ei voi noutaa."
"Collapse All","Pienennä kaikki"
"Content","Sisältö"
"Content Heading","Sisällön otsikko"
"Content Management","Sisältö"
"Contents of a Static Block","Muuttumattomien sisältölohkojen sisältö"
"Create Folder...","Lisää hakemisto..."
"Custom Design","Mukailtu ulkoasu"
"Custom Design From","Mukailtu ulkoasu alkaa"
"Custom Design To","Mukailtu ulkoasu päättyy"
"Custom Layout","Mukailtu sommitelma"
"Custom Layout Update XML","Mukaillun sommitelman XML"
"Custom Theme","Mukailtu teema"
"Customer Tax Class Information","Asiakkaan veroluokan tiedot"
"Date Created","Lisätty"
"Delete Block","Poista sisältölohko"
"Delete File","Poista tiedosto"
"Delete Folder","Poista hakemisto"
"Delete Page","Poista sivu"
"Description","Kuvaus"
"Design","Ulkoasu"
"Disabled","Pois käytöstä"
"Disabled Completely","Aina pois käytöstä"
"Disabled by Default","Oletuksena pois käytöstä"
"Edit Block","Muokkaa sisältölohkoa"
"Edit Block '%s'","Muokkaa sisältölohkoa '%s'"
"Edit Page","Muokkaa sivua"
"Edit Page '%s'","Muokkaa sivua '%s'"
"Enable WYSIWYG Editor","Siirry WYSIWYG-editoriin"
"Enabled","Käytössä"
"Enabled by Default","Oletuksena käytössä"
"Expand All","Laajenna kaikki"
"General Information","Yleistiedot"
"Go to Home Page","Siirry etusivulle"
"Home","Etusivu"
"ID","Tunniste"
"Identifier","Tunniste"
"If empty, the Page Title will be used","Tyhjänä käytetään sivun otsikkoa."
"Images (%s)","Kuvat (%s)"
"Insert File","Lisää tiedosto"
"Insert Image...","Lisää kuva..."
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Hakemiston nimi on virheellinen. Käytä kirjaimia ja numeroita, alaviivoja ja ajatusviivoja. Älä käytä ääkkösiä ja välilyöntejä."
"Keywords","Asiasanat"
"Last Modified","Viimeisin muokkaus"
"Layout","Sommitelma"
"Layout Update XML","Sommitelman XML"
"Link to a CMS Page","Linkki CMS-sivulle"
"Manage Pages","Sivut"
"Media Gallery","Mediagalleria"
"Media Storage","Median sijainti"
"Meta Data","Metatiedot"
"Meta Description","Metatiedon kuvaus"
"Meta Keywords","Metatiedon avainsanat"
"New Block","Uusi sisältölohko"
"New Folder Name:","Uusi hakemiston nimi:"
"New Page","Uusi sivu"
"No files found","Tiedostoja ei löydy."
"Order Information","Tilauksen tiedot"
"Page Information","Sivun tiedot"
"Page Layout","Sivun sommittelu"
"Page Status","Sivun tila"
"Page Title","Sivun otsikko"
"Pages","Sivut"
"Product Tax Class Information","Tuotteen veroluokan tiedot"
"Redirect to CMS-page if Cookies are Disabled","Uudelleenohjaa CMS-sivulle jos evästeet eivät ole käytössä"
"Relative to Website Base URL","Suhteellinen sivuston juuriosoitteeseen"
"Save Block","Tallenna sisältölohko"
"Save Page","Tallenna sivu"
"Save Process","Save Process"
"Select Block...","Valitse lohko..."
"Select Page...","Valitse sivu..."
"Show Breadcrumbs for CMS Pages","Näytä osoitepolku CMS-sivuilla"
"Show / Hide Editor","Näytä / piilota editori"
