"Collected Files Count","Kerättyjen tiedostojen määrä"
"Compilation","Kokoaminen"
"Compilation State","Kokoamisen tila"
"Compilation error","Kokoamisvirhe"
"Compiled","Kokoaminen on suoritettu"
"Compiled Scopes Count","Koottujen näkymien määrä"
"Compiler Status","Kokoajan tila"
"Compiler include path is disabled.","Compiler include path is disabled."
"Compiler include path is enabled.","Compiler include path is enabled."
"Directory ""%s"" must be writeable","Hakemistoon ""%s"" täytyy olla kirjoitusoikeudet."
"Disable","Poista käytöstä"
"Disabled","Pois käytöstä"
"Enable","Ota käyttöön"
"Enabled","Käytössä"
"File ""%s"" must be writeable","Tiedostoon ""%s"" täytyy olla kirjoitusoikeudet."
"Not Compiled","Kokoamista ei ole tehty"
"Run Compilation Process","Suorita kokoaminen"
"Scopes Compilation Settings","Näkymien koontiasetukset"
"System","Järjestelmä"
"The compilation has completed.","Kokoaminen on suoritettu."
"Tools","Varmuuskopiot, kokoaminen"
