"1.5.0.0 & later","1.5.0.0 & myöhempi"
"Action","Toiminto"
"Add Author","Lisää julkaisija"
"Add Contents Path","Lisää sisältöjen polku"
"Add PHP Extension dependency","Lisää PHP-laajennuksen riippuvaisuus"
"Add Package dependency","Lisää paketin riippuvaisuus"
"Add files","Lisää tiedostot"
"Authors","Julkaisijat"
"Channel","Kanava"
"Contents","Sisällöt"
"Create Extension Package","Lisää laajennuspaketti"
"Dependencies","Riippuvaisuudet"
"Description","Kuvaus"
"Edit Extension","Muokkaa laajennusta"
"Email","Sähköposti"
"Extension","Laajuennus"
"Extensions","Laajennukset"
"Failed to create the package.","Paketin lisääminen epäonnistui."
"Failed to load the package data.","Paketin tietojen noutaminen epäonnistui."
"Failed to save the package.","Paketin tallentaminen epäonnistui."
"Files","Tiedostot"
"Folder","Kansio"
"Ignore","Hylkää"
"Include","Sisällytä"
"License","Lisenssi"
"License URI","Lisenssin URI"
"Load Local Package","Lataa paikallinen paketti"
"Load local Package","Lataa paikallinen paketti"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Maks."
"Maximum","Enintään"
"Min","Min."
"Minimum","Vähintään"
"Name","Nimi"
"New Extension","Uusi laajennus"
"PHP Version","PHP-versio"
"Package","Paketti"
"Package Extensions","Laajennuspaketit"
"Package File Name","Paketin tiedostonimi"
"Package Info","Paketin tiedot"
"Packages","Paketit"
"Path","Polku"
"Pre-1.5.0.0","Ennen-1.5.0.0"
"Release Info","Julkaisutiedot"
"Remove","Poista"
"Save As...","Tallenna nimellä..."
"Save Data and Create Package","Tallenna tiedot ja lisää paketti"
"Save package with custom package file name","Tallenna paketti muokatulla paketin tiedostonimellä"
"Summary","Yhteenveto"
"Supported releases","Tuetut julkaisut"
"System","Järjestelmä"
"Target","Kohde"
"The package %s data has been loaded.","Paketin %s tiedot on noudettu."
"The package data has been saved.","Paketin tiedot on tallennettu."
"There was a problem saving package data","Paketin tietoja tallennettaessa ilmeni ongelma."
"Type","Tyyppi"
"User","Käyttäjä"
