"%s","%s"
"%s already exist.","%s on jo olemassa."
"%s already exists.","%s on jo olemassa."
"-- Please Select --","-- Valitse --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style="color:red">Varoitus!</strong>  Käytettäessä kaupan koodia URL-osoitteessa, joissain tapauksissa järjestelmä ei välttämättä toimi oikein jos URL-osoitetta ei sisällytetä myös määrättyihin kolmannen osapuolen palveluihin (esim. PayPal jne.)."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"Add Block Names to Hints","Lisää sisältölohkon nimet vihjeisiin"
"Add Secret Key to URLs","Lisää salausavain URL-osoitteisiin"
"Add Store Code to Urls","Lisää kaupan koodi URL-osoitteisiin"
"Admin","Ylläpito"
"Admin Base URL","Ylläpidon juuriosoite"
"Admin User Emails","Ylläpidon sähköpostiosoitteet"
"Advanced","Erityisasetukset"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Kun mediasisällön sijainti muutetaan, paina tämän jälkeen Synkronoi. Sisältö siirretään tällöin uuteen sijaintiin ja se on käytössä vasta kun synkronointi on valmistunut."
"Allow Countries","Sallitut maat"
"Allow Symlinks","Salli symboliset linkit"
"Allowed IPs (comma separated)","Sallitut IP-osoitteet (erotetaan pilkulla)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Sallitut tiedostotyypit: ICO, PNG, GIF, JPEG, APNG, SVG. Kaikki selaimet eivät tue kaikkia näitä tyyppejä!"
"Allows customers to stay logged in when switching between different stores.","Sallii asiakkaiden pysyä kirjautuneena vaihtaessaan kauppojen välillä"
