"Cron (Scheduled Tasks) - all the times are in minutes","Ajastetut tehtävät - kaikki ajat ilmoitetaan minuutteina"
"Daily","Päivittäin"
"Failure History Lifetime","Epäonnistuneiden tehtävien historian säilytysaika"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Ajastetuissa tehtävissä muodostettavien URL-osoitteiden oikeellisuus varmistetaan tarkasti oikeilla asetuksilla kohdassa Internet > Salaamaton ja Salattu juuriosoite."
"Generate Schedules Every","Suorita ajastetut tehtävät joka"
"History Cleanup Every","Tyhjennä historia joka"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if Not Run Within","Ohitetaan jollei ajeta"
"Monthly","Kuukausittain"
"No callbacks found","No callbacks found"
"Schedule Ahead for","Tehtävät aloitetaan viimeistään"
"Success History Lifetime","Onnistuneiden tehtävien historian säilytysaika"
"Too late for the schedule.","Liian myöhäinen ajastukselle."
"Unable to save the cron expression.","Ajastetun toiminnon tallentaminen ei onnistu."
"Unknown error.","Tuntematon virhe."
"Weekly","Viikoittain"
