"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' näyttää olevan paikallisverkon nimi. Paikallisverkkonimet eivät ole sallittuja."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' näyttää olevan IP-osoite. IP-osoitteet eivät ole sallittuja."
"'%value%' does not appear to be a valid local network name","'%value%' ei ole kelvollinen paikallisverkon nimi."
"* Required Fields","* pakollinen"
"ALL GROUPS","KAIKKI RYHMÄT"
"Account Dashboard","Ilmoitustaulu"
"Account Information","Tilin tiedot"
"Account Sharing Options","Tilin jakaminen"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Tilin avaamiseen vaaditaan sähköpostiosoitteen vahvistaminen. Sinulle on lähetetty vahvistuslinkin sisältävä sähköposti. Sähköpostin voi lähtettää uudestaan <a href=""%s"">tästä</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Tilin avaamiseen vaaditaan sähköpostiosoitteen vahvistaminen. Sinulle on lähetetty vahvistuslinkin sisältävä sähköposti. Sähköpostin voi lähtettää uudestaan <a href=""%s"">tästä</a>."
"Action","Toiminto"
"Add New Address","Lisää uusi osoite"
"Add New Customer","Lisää uusi asiakas"
"Add New Customer Group","Lisää uusi asiakasryhmä"
"Added From","Lisätty kohteesta"
"Additional Address Entries","Muut osoitteet"
"Address","Osoite"
"Address Book","Osoitekirja"
"Address Books","Osoitekirjat"
"Address Information","Osoitetiedot"
"Address Templates","Osoitepohjat"
"Addresses","Osoitteet"
"Admin","Ylläpito"
"All","Kaikki"
"All Store Views","Kaikki kauppanäkymät"
"All countries","Kaikki maat"
"Always optional.","Aina valinnainen."
"Amount","Summa"
"An error occurred while deleting the address.","Osoitetta poistettaessa tapahtui virhe."
"An error occurred while retrieving the option value: %s.","Noudettaessa asetusarvoa %s tapahtui virhe."
"An error occurred while saving the collection, aborting. Error: %s","Kokoelmaa tallennettaessa tapahtui virhe. Keskeytetään. Virhe: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Kohteelle %s (%s) on määritelty virheellinen vaihtoehtotunniste, hypätään tietueen yli."
"Approved","Hyväksytty"
"Are you sure that you want to remove this item?","Poistetaanko tämä tuote?"
"Are you sure you want to cancel adding of this address?","Perutaanko tämän osoitteen lisääminen?"
"Are you sure you want to delete this address?","Poistetaanko tämä osoite?"
"Are you sure?","Vahvista toiminnon suorittaminen"
"Array of Entity collections is expected.","Array of Entity collections is expected."
