"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Linkki</a>"
"Actions XML is not valid.","Toiminnot XML ei ole kelvollinen."
"An error occurred while opening file: ""%s"".","Tiedostoa ""%s"" avattaessa tapahtui virhe."
"Could not load file: ""%s"".","Tiedostoa ""%s"" ei voi ladata."
"Could not save file: %s.","Tiedostoa %s ei voi tallentaa."
"Declared adapter %s was not found.","Declared adapter %s was not found."
"Destination folder ""%s"" is not a directory.","Kohdekansio ""%s"" ei ole hakemisto."
"Destination folder ""%s"" is not writable.","Kohdekansioon ""%s"" ei ole kirjoitusoikeuksia."
"Done","Tehty"
"Dry run set, stopping execution.","Testi-ajo asetettu, suoritus lopetetaan."
"ETA: %s","Arvioitu aika: %s"
"Error in field mapping: field list for mapping is not defined.","Error in field mapping: field list for mapping is not defined."
"File ""%s"" does not exist.","Tiedostoa ""%s"" ei ole."
"Found %d rows.","%d riviä löytyi."
"Less than a minute","Alle yksi minuutti"
"Loaded successfully: ""%s"".","Lataaminen onnistui: ""%s""."
"Memory Used: %s","Muistia käytetty: %s"
"Method ""%s"" not defined in adapter %s.","Menetelmää ""%s"" ei ole määritelty sovittimessa %s."
"Method ""%s"" was not defined in adapter %s.","Menetelmää ""%s"" ei oltu määritelty sovittimessa %s."
"Please declare ""adapter"" and ""method"" nodes first.","Please declare ""adapter"" and ""method"" nodes first."
"Processed records: %s","Käsitellyt tietueet: %s"
"Profile with the same name already exists.","Samalla nimellä on jo profiili."
"Saved successfully: ""%s"" [%d byte(s)].","Tallennus onnistui: ""%s"" [%d tavu(a)]."
"Sheet 1","Välilehti 1"
"Skip undefined row.","Ohitetaan määtittelemätön rivi."
"Starting %s :: %s","Aloitetaan %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Kohdekansiota ""%s"" ei ole tai sitä ei päästä lisäämään."
"Total records: %s","Tietueiden kokonaismäärä: %s"
"hour","tunti"
"hours","tuntia"
"minute","minuutti"
"minutes","minuuttia"
