"-- Please select --","-- Valitse --"
"Allowed Currencies","Sallitut valuutat"
"Base Currency","Oletusvaluutta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Perusvaluuttaa käytetään kaikissa verkossa tehdyissä toimeksiannoissa. Näkymä valitaan kohdassa luettelon hintanäkymä (""Luettelo"" > ""Hinta"" > ""Luettelon hintanäkymä"")."
"Can't convert rate from ""%s-%s"".","Ei voida muuntaa valuuttakurssia ""%s-%s""."
"Cannot retrieve rate from %s.","Valuuttakurssia ei voida noutaa osoitteesta %s."
"Connection Timeout in Seconds","Yhteyden aikakatkaisu sekunteina"
"Continue &raquo;","Jatka &raquo;"
"Country","Maa"
"Country API","Maa API"
"Country and Format Type combination should be unique","Maan ja muodon tyyppi yhdistelmä täytyy olla yksilöllinen."
"Currency","Valuutta"
"Currency Options","Valuutta-asetukset"
"Currency Setup","Valuutta"
"Currency Update Warnings","Valuuttapäivityksen varoitukset"
"Default Display Currency","Oletuksena näytettävä valuutta"
"Directory","Hakemisto"
"Display not required State","Näytä maakunnat jotka eivät ole pakollisia"
"Enabled","Käytössä"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin mallipohja"
"FATAL ERROR:","VAKAVA VIRHE:"
"Frequency","Aikaväli"
"Installed Currencies","Asennetut valuutat"
"Invalid Import Service specified.","Tuontipalvelu on määritelty virheellisesti."
"Invalid country code: %s","Maakoodi %s on virheellinen."
"Invalid rates received","Virheellisiä kursseja on vastaanotettu."
"Invalid target currency.","Kohdevaluutta on virheellinen."
"List of countries","Maaluettelo"
"List of regions in specified country","Luettelo alueista määritellyissä maissa"
"Postal Code is Optional for the following countries","Postinumero on valinnainen seuraavissa maissa"
"Region","Alue"
"Region API","Alue API"
"Scheduled Import Settings","Ajastetun tuonnin asetukset"
"Select Your Currency","Valitse valuutta"
"Service","Palvelu"
"Start Time","Aloitusaika"
"State is required for","Osavaltio tai maakunta on pakollinen"
"State/Province","Maakunta"
"States Options","Osavaltio tai maakunta asetukset"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize the import model.","Tuontimallin alustus ei onnistu."
"Undefined rate from ""%s-%s"".","Valuuttakurssi ""%s-%s"" on määrittelemättä."
"WARNING:","VAROITUS:"
"Webservicex","Webservicex (valuuttakurssit)"
"Your current currency is: %s","Tämänhetkinen valuutta on %s"
