"Add","Lisää"
"Add New Row","Lisää uusi rivi"
"Add links and samples to downloadable product","Lisää linkkejä ja näytteitä ladattavaan tuotteeseen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Kirjaimia, numeroita, väli- ja alaviivoja suositellaan käytettäväksi tiedostonimissä. Sopimattomat merkit korvataan \'_\' -merkeillä."
"An error occurred while getting the requested content.","Pyydettyä sisältöä noudettaessa tapahtui virhe."
"An error occurred while getting the requested content. Please contact the store owner.","Pyydettyä sisältöä noudettaessa tapahtui virhe. Ota yhteyttä asiakaspalveluun."
"An error occurred while saving the file(s).","Tiedostoja tallennettaessa tapahtui virheitä."
"Availability:","Saatavuus:"
"Back","Takaisin"
"Canceled","Peruttu"
"Cannot connect to remote host, error: %s.","Yhteyttä etäpalvelimeen ei voida muodostaa, virhe: %s."
"Catalog Product View (Downloadable)","Luettelon tuotenäkymä (ladattavat)"
"Category API","Luokka API"
"Customer My Account Downloadable Items","Asiakkaan oman tili ladattavat tuotteet"
"Date","Päivämäärä"
"Default Link Title","Linkin oletusotsikko"
"Default Maximum Number of Downloads","Latausten oletusenimmäismäärä"
"Default Sample Title","Näytteen oletusotsikko"
"Delete","Poista"
"Disable Guest Checkout if Cart Contains Downloadable Items","Kytke rekisteröitymättömän maksutoiminto pois käytöstä jos ostoskori sisältää ladattavia tuotteita"
"Downloadable Information","Ladattavien tuotteiden tiedot"
"Downloadable Product","Ladattava tuote"
"Downloadable Product Options","Ladattavat tuotteet"
"Downloadable Product Section","Ladattava tuote -osio"
"Edit","Muokkaa"
"Edit item parameters","Muuta tuotteen arvoja"
"Excl. Tax","Veroton"
"File","Tiedosto"
"From:","Mistä:"
"Gift Message","Lahjaviesti"
"Go to <a href=""%s"">My Downloadable Products</a>","Siirry <a href=""%s"">Omiin ladattaviin tuotteisiin</a>"
"Guest checkout will only work with shareable.","Vieraana ostaminen toimii vain jaettavien kanssa."
"In stock","Varastossa"
"Incl. Tax","Verollinen"
"Invalid download URL host.","URL-isäntäosoite on virheellinen."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid download link type.","Latauslinkin tyyppi on virheellinen."
"Invoiced","Laskutettu"
"Links can be purchased separately","Linkit voidaan ostaa erikseen."
"List","Luettelo"
"Max. Downloads","Latausten enimmäismäärä"
"Message:","Viesti:"
"Move","Siirrä"
"My Downloadable Products","Omat ladattavat tuotteet"
"Open Links in New Window","Avaa linkit uudessa ikkunassa"
"Order #","Tilaus "
"Order Item Status to Enable Downloads","Tilauksen tuotteen tila latausten ottamiseksi käyttöön."
"Order id cannot be null","Tilauksen tunnus ei voi olla tyhjä."
"Order item id cannot be null","Tilauksen tuotteen tunnus ei voi ola tyhjä."
"Ordered","Tilattu"
"Out of stock","Ei ole varastossa"
"Pending","Odottaa"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Kirjaudu sisään ladataksesi tuotteen tai ostoksen <a href=""%s"">%s</a>"
"Please log in to download your product.","Kirjaudu sisään tuotteen latausta varten."
"Please set resource file and link type.","Aseta lähdetiedosto ja linkkityyppi."
"Please specify product link(s).","Määritä tuotteiden linkit."
"Price","Hinta"
"Product downloadable links","Tuotteen ladattavat linkit"
"Qty","Kpl"
"Refunded","Hyvitetty"
"Remaining Downloads","Jäljellä olevat lataukset"
"Remove","Poista"
"Remove Item","Poista tuote"
"Remove links and samples from downloadable product","Poista linkit ja näytteet ladattavasta tuotteesta"
"Requested link does not exist.","Pyydettyä linkkiä ei ole."
"Retrieve links and samples list from downloadable product","Nouda ladattavan tuotteen linkit ja näyteluettelo"
"Sample","Näyte"
"See price before order confirmation.","Tarkista hinta ennen tilauksen vahvistamista."
"Shareable","Jaettava"
"Shipped","Toimitettu"
"Sorry, there was an error getting requested content. Please contact the store owner.","Pyydettyä sisältöä noudettaessa tapahtui virhe. Ota yhteyttä asiakaspalveluun."
"Sort Order","Järjestys"
"Start Download","Aloita lataaminen"
"Status","Tila"
"The file does not exist.","Tiedostoa ei ole."
"The link has expired.","Linkin voimassaolo on kulunut umpeen."
"The link is not available.","Linkki ei ole käytettävissä."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Valittuja tiedostoja on vielä lataamatta. Vaitse lataus tai poista ne ensin."
"Title","Nimi"
"To:","Mihin:"
"U","U"
"Unlimited","Rajoittamaton"
"Use Content-Disposition","Sisällön avaus"
"Use Default Value","Käytä oletusarvoa"
"View Order","Näytä tilaus"
"What's this?","Mikä tämä on?"
"You have not purchased any downloadable products yet.","Ladattavia tuotteita ei ole."
"attachment","liite"
"download","lataa"
"inline","ikkuna"
"sample","näyte"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Kirjaimia, numeroita, väli- ja alaviivoja suositellaan käytettäväksi tiedostonimissä. Sopimattomat merkit korvataan '_' -merkeillä."
"An error occurred while getting requested content. Please contact the store owner.","Pyydettyä sisältöä noudettaessa tapahtui virhe. Ota yhteyttä asiakaspalveluun."
"Downloadable product Section","Ladattava tuote -osio"
"Move to Wishlist","Siirrä kauppalistaan"
