"""%s"" contains not only digit characters.","''''%s'''' ei sisällä ainoastaan numeroita."
"""%s"" does not fit the entered date format.","""%s"" ei sovi syötettyyn päivämäärämuotoon."
"""%s"" exceeds the allowed file size.","""%s"" ylittää sallitun tiedostokoon."
"""%s"" exceeds the allowed length.","""%s"" ylittää sallitun pituuden."
"""%s"" has not only alphabetic and digit characters.","''''%s'''' ei sisällä ainoastaan kirjaimia ja numeroita."
"""%s"" has not only alphabetic characters.","''''%s'''' ei sisällä ainoastaan kirjaimia."
"""%s"" height exceeds allowed value of %s px.","""%s"" korkeus ylittää sallitun %s px arvon."
"""%s"" invalid type entered.","''''%s'''' virheellistä tyyppiä on syötetty."
"""%s"" is a required value.","""%s"" on pakollinen."
"""%s"" is an empty string.","""%s"" on tyhjä merkkijono."
"""%s"" is not a valid URL.","""%s"" ei ole kelvollinen URL-osoite."
"""%s"" is not a valid date.","""%s"" ei ole kelvollinen päivämäärä."
"""%s"" is not a valid email address.","""%s"" ei ole kelvollinen sähköpostiosoite."
"""%s"" is not a valid file","""%s"" ei ole kelvollinen tiedosto."
"""%s"" is not a valid file extension.","""%s"" ei ole kelvollinen tiedostopääte."
"""%s"" is not a valid file.","""%s"" ei ole kelvollinen tiedosto."
"""%s"" is not a valid hostname.","""%s"" ei ole kelvollinen isäntänimi."
"""%s"" is not a valid image format","""%s"" ei ole kelvollinen kuvavormaatti."
"""%s"" length must be equal or greater than %s characters.","""%s"" pituus täytyy olla sama tai suurempi kuin %s merkkiä."
"""%s"" length must be equal or less than %s characters.","""%s"" pituus täytyy olla sama tai pienempi kuin %s merkkiä."
"""%s"" width exceeds allowed value of %s px.","""%s"" leveys ylittää sallitun %s px arvon."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' näyttää olevan paikallisverkon nimi. Paikallisverkkonimet eivät ole sallittuja."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' näyttää olevan IP-osoite. IP-osoitteet eivät ole sallittuja."
"'%value%' does not appear to be a valid URI hostname","'%value%' ei ole kelvollinen URI-isäntänimi."
"'%value%' does not appear to be a valid local network name","'%value%' ei ole kelvollinen paikallisverkon nimi."
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"A joint field with this alias (%s) is already declared","A joint field with this alias (%s) is already declared"
"Add Option","Lisää vaihtoehto"
"An error occurred while loading a record, aborting. Error: %s","Tietuetta noudettaessa tapahtui virhe. Keskeytetään. Virhe: %s"
"An error occurred while loading the collection, aborting. Error: %s","Kokoelmaa noudettaessa tapahtui virhe. Keskeytetään. Virhe: %s"
"An error occurred while saving a record, aborting. Error: ","Tietuetta tallennettaessa tapahtui virhe. Keskeytetään. Virhe: "
"Attempt to add an invalid object","Yritys lisätä virheellinen kohde."
"Attribute '%s' used in configurable products","Ominaisuus '%s' on käytössä muokattavissa tuotteissa."
"Attribute Code","Ominaisuuden koodi"
"Attribute Label","Ominaisuuden nimi"
"Attribute Properties","Ominaisuuden asetukset"
"Attribute object is undefined","Ominaisuuden kohde on määrittelemättä."
"Attribute set with the ""%s"" name already exists.","Ominauus nimellä ""%s"" on jo olemassa."
"Attribute with the same code","Ominaisuus samalla tunnuksella"
"Can't create table: %s","Taulukkoa %s ei voida lisätä."
"Catalog Input Type for Store Owner","Syöttömuoto kauppiaalle"
"Current module EAV entity is undefined","Current module EAV entity is undefined"
"Current module pathname is undefined","Moduulin polun nimi on määrittelemättä."
"Data integrity: No header row found for attribute","Tiedon yhteneväisyys: ominaisuudelle ei löydy otsikkoriviä."
"Date","Päivämäärä"
"Decimal Number","Desimaalinumero"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Default Product Listing Sort by not exists on Available Product Listing Sort By"
"Default Value","Oletusarvo"
"Default option value is not defined","Oletusasetusarvoa ei ole määritelty."
"Delete","Poista"
"Dropdown","Pudotusvalikko"
"Email","Sähköposti"
"Entity collection expected.","Kokonaisuuskokoelma on pakollinen."
"Entity collections expected.","Kokonaisuuskokoelmat ovat pakollisia."
"Entity instance is not defined","Entity instance is not defined"
"Entity is not initialized","Kokonaisuutta ei ole otettu käyttöön."
"Entity object is undefined","Kokonaisuuden objektia ei ole määritelty."
"Failed to load node %s from config","Failed to load node %s from config"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Sisäiseen käyttöön. Ainutkertainen ilman välilyöntejä. Ominaisuuskoodin enimmäispituus on alle %s merkkiä."
"Form Element with the same attribute","Form Element with the same attribute"
"Form Fieldset with the same code","Form Fieldset with the same code"
"Form Type with the same code","Form Type with the same code"
"Form code is not defined","Form code is not defined"
"Frontend label is not defined","Kaupan puolen nimeä ei ole määritelty."
"Input Validation for Store Owner","Arvojen muoto"
"Integer Number","Kokonaisluku"
"Invalid EAV attribute.","EAV ominaisuus on virheellinen."
"Invalid alias, already exists in joint attributes","Invalid alias, already exists in joint attributes"
"Invalid attribute name: %s","Ominaisuuden nimi %s on virheellinen."
"Invalid attribute requested: %s","Pyydetty virheellistä ominaisuutta: %s"
"Invalid attribute type","Ominaisuuden tyyppi on virheellinen."
"Invalid character encountered in increment ID: %s","Erän tunnisteessa on havaittu virheellinen merkki %s"
"Invalid date","Päivämäärä on virheellinen."
"Invalid default date","Oletuspäivämäärä on virheellinen."
"Invalid default decimal value","Oletusdesimaaliarvo on virheellinen."
"Invalid entity specified","Kokonaisuus on määritelty virheellisesti."
"Invalid entity supplied.","Kokonaisuus on toimitettu virheellisesti."
"Invalid entity supplied: %s","Kokonaisuus on toimitettu virheellisesti: %s"
"Invalid entity type","Kokonaisuustyyppi on virheellinen."
"Invalid entity_id, skipping the record.","Konaisuustunniste on virheellinen, hypätään tietueen yli."
"Invalid entity_type specified: %s","Kokonaisuustyyppi on määritelty väärin: %s"
"Invalid foreign key","Vierasavain on virheellinen."
"Invalid form type.","Lomaketyyppi on virheellinen."
