"Add","Lisää"
"Add gift message for shopping cart","Lisää lahjaviesti ostoskorille"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Lisää lahjaviesti ostoskorin tuotteille"
"Add gift options","Lisää lahjatietoja"
"Add gift options for Individual Items","Lisää lahjatiedot yksittäisille tuotteille"
"Add gift options for the Entire Order","Lisää lahjatiedot koko tilaukselle"
"Add gift options.","Lisää lahjatietoja"
"Allow Gift Messages for Order Items","Salli lahjaviestit tilauksen yksittäisille tuotteille"
"Allow Gift Messages on Order Level","Salli lahjaviestit tilaustasolla"
"An error occurred while saving the gift message.","Lahjaviestiä tallennettaessa tapahtui virhe."
"Are you sure?","Vahvista toiminnon suorittaminen"
"Cancel","Peruuta"
"Do you have any gift items in your order?","Onko tilauksessasi lahjatuotteita?"
"Edit","Muokkaa"
"From","Alkaen"
"Gift Message","Lahjaviesti"
"Gift Message API","Lahjaviestin API"
"Gift Options","Lahjatiedot"
"Gift Options for","Lahjatiedot kohteelle"
"Gift Options for Individual Items","Lahjatiedot yksittäisille tuotteille"
"Gift Options for the Entire Order.","Lahjatiedot koko tilaukselle"
"Gift Options for this address.","Lahjatiedot tälle osoitteelle"
"Item %d of %d","Tuote %d / %d"
"Message","Viesti"
"No","Ei"
"OK","OK "
"Save Gift Message","Tallenna lahjaviesti"
"The gift message has been removed","Lahjaviesti on poistettu."
"The gift message has been saved","Lahjaviesti on tallennettu."
"The gift message has been saved.","Lahjaviesti on tallennettu."
"To","Päättyen"
"Unknown entity type","Kokonaisuuden tyyppi on tuntematon."
"Use config","Käytä kokoonpanoasetuksia"
"Yes","Kyllä"
"You can leave this box blank if you do not wish to add a gift message for the item.","Jätä tämä kohta tyhjäksi jos et halua lisätä lahjaviestiä tuotteelle."
"You can leave this box blank if you do not wish to add a gift message for this address.","Jätä tämä kohta tyhjäksi jos et halua lisätä lahjaviestiä tälle osoitteelle."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Jätä tämä kohta tyhjäksi jos et halua lisätä lahjaviestiä koko tilaukselle."
