"Active","Käytössä"
"Add Attribute Mapping","Lisää ominaisuuskartoitus"
"Add New Attribute","Lisää uusi ominaisuus"
"Add to Google Base","Lisää Google Baseen"
"Are you sure?","Vahvista toiminnon suorittaminen"
"Attribute","Ominaisuus"
"Attribute Set","Ominaisuuskokoelma"
"Attribute Set and Item Type","Ominaisuuskokoelma ja tuotetyyppi"
"Attributes","Ominaisuudet"
"Attributes Mapping","Ominaisuuksien kartoitus"
"Attributes Set","Ominaisuuksien kokoelma"
"AuthSub","AuthSub"
"Available Products","Käytettävissä olevat tuotteet"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Perusvaluutan arvoksi täytyy asettaa %s kohteelle %s järjestelmäasetuksissa. Muutoin tuotehinnat eivät ole oikein Google Basessa."
"Cannot update Google Base Item for Store '%s'","Kaupan '%s' Google Base -tuotetta ei voi päivittää."
"Captcha confirmation error: %s","Captcha vahvistusvirhe: %s"
"Captcha has been confirmed.","Captcha on vahvistettu."
"Catalog","Luettelo"
"Clicks","Klikkaukset"
"ClientLogin","Asiakaskirjautuminen"
"Confirm","Vahvista"
"Current Mapping will be reloaded. Continue?","Nykyinen kartoitus ladataan uudestaan. Jatketaanko?"
"Custom attribute, no mapping","Muokattu ominaisuus, ei kartoitusta"
"Delete","Poista"
"Delete Mapping","Poista kartoitus"
"Edit Item Type","Muokkaa tuotetyyppiä"
"Edit Item Type ""%s""","Muokkaa tuotetyyppiä ""%s"""
"Error: %s","Virhe: %s"
"Expires","Erääntyy"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base ominaisuus"
"Google Base ID","Google Base tunniste"
"Google Base Item Type","Google Base tuotetyyppi"
"Google Base Item type","Google Base tuotetyyppi"
"Google Base Items","Google Base tuotteet"
"Google base","Google base"
"Hide","Piilota"
"Hosted","Hosted"
"Hosted or Google","Hosted or Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Invalid Product Model for Google Base Item"
"Item Type was deleted","Tuotetyyppi on poistettu."
"Item Types","Tuotetyypit"
"Item model is not specified to delete Google Base entry.","Item model is not specified to delete Google Base entry."
"Items","Tuotteet (lkm)"
"Manage Attribute Mapping","Ominaisuuksien kartoitus"
"Manage Attributes","Ominaisuudet"
"Manage Items","Tuotteet"
"New Item Type","Uusi tuotetyyppi"
"New ItemType","Uusi tuotetyyppi"
"No","Ei"
"No items were deleted from Google Base","Yhtään tuotetta ei poistettu Google Basesta."
"No items were published","Yhtää tuotetta ei julkaistu."
"No items were saved as inactive items","Yhtään tuotetta ei tallennettu passiivisena tuotteena."
"No products were added to Google Base","Yhtään tuotetta ei lisätty Google Baseen."
"Object model is not specified to save Google Base entry.","Object model is not specified to save Google Base entry."
"Please, select Attribute Set and Google Item Type to load attributes","Ominaisuuksien noutamiseksi valitse ominaisuuskokoelma ja Google-tuotetyyppi."
"Product Name","Tuotteen nimi"
"Publish","Julkaise"
"Published","Julkaistu"
"Remove","Poista"
"Save Mapping","Tallenna kartoitus"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Istunto vanheni viennin aikana. Tarkista viedyt tuotteet ja toista tarvittaessa vienti."
"Synchronize","Synkronoi"
"Target Country","Kohdemaa"
"The item type has been saved.","Kohdetyyppi on tallennettu."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Toiminto päivittää tuotteiden tilastot ja poistaa tuotteet, jotka eivät ole saatavilla Google Basessa. Jatketaanko?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Yhteensä %d tuotetta on poistettu ja  %d  päivitetty."
"Total of %d items(s) have been published.","Yhteensä %d tuotetta on julkaistu."
"Total of %d items(s) have been removed from Google Base.","Yhteensä %d tuotetta on poistettu Google Basesta."
"Total of %d items(s) have been saved as inactive items.","Yhteensä %d tuotetta on tallennettu passiivisena tuotteena."
"Total of %d product(s) have been added to Google Base.","Yhteensä %d tuotetta on lisätty Google Baseen."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Yhteyden muodostaminen Google Baseen ei onnistunut. Tarkista tilin asetukset."
"Unable to select a Store View.","Kauppanäkymää ei voi valita."
"View Available Products","Näytä käytettävissä olevat tuotteet"
"View Item in Google Base","Näytä tuotteet Google Basessa"
"Yes","Kyllä"
