"<a href="http://www.magentocommerce.com/redirect/google-checkout/" target="_blank">Signup for Google Checkout</a>","<a href="http://www.magentocommerce.com/redirect/google-checkout/" target="_blank">Tarjoa asiakkaille Google lompakko -palvelu</a>"
"* Select shipping method","* Valitse toimitustapa"
"2Day","2 päivää"
"2nd Day Air","Toisena päivänä, Ilmakuljetus"
"2nd Day Air AM","Toisena päivänä, Ilmakuljetus aamu"
"3 Day Select","3 Day Select"
"<br />Warning: <strong>%s</strong><br />","<br />Varoitus: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Varoitus!</strong> Tämä valinta poistaa käytöstä kauppiaan laskemat toimituskulut. Google API hylkää kaikki yritykset muuttaa toimitushintoja."
"A virtual item to reflect the discount total","A virtual item to reflect the discount total"
"A virtual item to reflect the tax total","A virtual item to reflect the tax total"
"AVS Status: %s","AVS Status: %s"
"Add Shipping Method","Lisää toimitustapa"
"Allowed Methods","Sallitut tavat"
"Amount: %s","Summa: %s"
"Auto-generated from GoogleCheckout Charge","Muodostetaan automaattisesti Google lompakko -veloituksesta"
"Buyer Account Age: %s days","Ostajan tilin ikä: %s päivää"
"CC Partial: xxxx-%s","Luottokortin tunnusosa: xxxx-%s"
"CID Status: %s","Asiakastunnisteen tila: %s"
"Carrier Calculated Methods","Tavarantoimittajan laskemat tavat"
"Cart Discount","Ostoskorin alennus"
"Checkout Image Style","Maksamisen kuvan muoto"
"Commercial","Kaupallinen"
"Continue Shopping URL","Jatka ostoksia -osoite"
"Credit memo has been created automatically","Hyvityslasku on lisätty automaattisesti."
"Debug","Virheiden haku (debug)"
"Default Package Height (in)","Paketin oletuskorkeus (in)"
"Default Package Length (in)","Paketin oletuspituus (in)"
"Default Package Width (in)","Paketin oletusleveys (in)"
"Default Price for Methods","Tapojen oletushinnat"
"Default price:","Oletushinta:"
"Delivery Address Category","Toimitusosoitteen luokka"
"Delivery Schedule","Toimituksen aikataulu"
