" in rows: "," riveillä: "
"-- Please Select --","-- Valitse --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Adapter type must be a non empty string"
"Can not determine attribute filter type","Ominaisuuden suodatintyyppiä ei voida määrittää."
"Can not find required columns: ","Pakollisia sarakkeita ei löydy: "
"Can not get autoincrement value","Can not get autoincrement value"
"Check Data","Tarkista tiedot"
"Column names have duplicates","Sarakkeiden nimissä on samoja."
"Column names is empty or is not an array","Sarakenimi on tyhjä tai ei ole merkkijono"
"Column names: ""%s"" are invalid","""%s"" nimiset sarakkeet ovat virheellisiä."
"Continue","Jatka"
"Data is invalid or file is not uploaded","Tieto on virhellistä tai tiedostoa ei ole noudettu."
"Destination directory is not writable","Kohdehakemistoon ei ole kirjoitusoikeuksia."
"Destination file is not writable","Kohdetiedostoon ei ole kirjoitusoikeuksia."
"Destination file path must be a string","Kohdetiedoston polun täytyy olla merkkijono."
"Entity Attributes","Kokonaisuuden ominaisuudet"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Kokonaisuus on tuntematon."
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error in data structure: behaviors are mixed"
"Error in data structure: entity codes are mixed","Error in data structure: entity codes are mixed"
"Export","Vienti"
"Export FAQ","Vie UKK"
"FAQ","UKK"
"File does not contain data. Please upload another one","Tiedosto ei sisällä tietoa. Nouda toinen tiedosto."
"File format is unknown","Tiedostomuoto on tuntematon."
"File is partially valid, but import is not possible","Tiedosto on osittain kelvollinen, mutta tuonti ei ole mahdollista."
"File is totally invalid. Please fix errors and re-upload file","Tiedosto on kokonaan virheellinen. Korjaa virheet ja nouda tiedosto sitten uudestaan."
"File is valid! To start import process press ""Import"" button","Tiedosto on kelvollinen! Aloita tuonti painamalla ""Tuonti"" -painiketta"
"File is valid, but import is not possible","Tiedosto on kelvollinen, mutta tuonti ei ole mahdollista."
"Header column names already set","Sarakkeiden otsikoiden nimet on jo asetettu."
"Import","Tuonti"
"Import / Export FAQ (Frequently Asked Questions)","Tuonti / Vienti UKK (usein kysytyt kysymykset)"
"Import FAQ","Tuonti UKK"
"Import successfully done.","Tuonti onnistui."
"Import/Export","Tuonti / Vienti"
"In/Out","Sisään / Ulos"
"Input entity code is not equal to entity adapter code","Input entity code is not equal to entity adapter code"
"Invalid entity","Kokonaisuus on virheellinen."
"Invalid file format","Tiedostomuoto on virheellinen."
"Invalid parameters","Parametrit ovat virheellisiä."
"Invalid seek position","Invalid seek position"
"Invalid value for '%s'","Kohteen '%s' arvo on virheellinen."
"No filter data provided","Suodatustietoa ei ole annettu."
"No source specified","Lähdettä ei ole määritelty."
"No valid data sent","Kelvollista tietoa ei ole lähetetty."
"No writer specified","No writer specified"
"Node does not has model token tag","Node does not has model token tag"
"Not implemented yet","Not implemented yet"
"Please fix errors and re-upload file","Korjaa virheet ja nouda tiedosto sitten uudestaan."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Korjaa virheet ja nouda tiedosto sitten uudestaan tai yksinkertaisesti paina ""Tuonti"" -painiketta ohittaaksesi virheelliset rivit."
"Some other FAQ","Muuta UKK"
"Source file moving failed","Lähdetiedoston siirto epäonnistui."
"Source file path must be a string","Lähdetiedoston polun täytyy olla merkkijono."
"Source is not set","Lähdettä ei ole asetettu."
"Status","Tila"
"System busy","Järjestämä on varattu."
"There are no product types available for export","Tuotetyyppejä ei ole käytettävissä yhtään tuontiin."
"Total size of uploadable files must not exceed %s","Noudettavien tiedostojen yhteiskoko ei saa ylittää %s"
"Uploaded file has no extension","Noudetulla tiedostolla ei ole päätettä."
"Validation Results","Tarkastuksen tulokset"
"Append Complex Data","Append Complex Data"
"Customers","Asiakkaat"
"Delete Entities","Delete Entities"
"Export File Format","Vietävän tiedoston muoto"
"Export Settings","Vientiasetukset"
"Import Behavior","Tuontitapa"
"Import Settings","Tuontiasetukset"
"Products","Tuotteet"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Select File to Import","Valitse tuotava tiedosto"
