"%s Index process is working now. Please try run this process later.","%s -indekstointi on käynnissä juuri nyt. Suorita tämä toiminto myöhemmin."
"%s index was rebuilt.","%s -indeksi on rakennettu uudestaan."
"'%s' Index Process Information","'%s' -indeksoinnin tiedot"
"Action","Toiminto"
"Cannot initialize the indexer process.","Cannot initialize the indexer process."
"Change Index Mode","Vaihda indeksointimuoto"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","<a href=""%s"">Päivitä tästä välimuistit.</a>"
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","<a href=""%s"">Rakenna tästä indeksit uudestaan.</a>"
"Delete","Poista"
"Description","Kuvaus"
"Disable","Poista käytöstä"
"Enable","Ota käyttöön"
"General","Yleinen"
"Index","Indeksi"
"Index Description","Indeksin kuvaus"
"Index Management","Indeksit"
"Index Mode","Indeksin tila"
"Index Name","Indeksin nimi"
"Index mode","Indeksin tila"
"Indexer code is not defined.","Indexer code is not defined."
"Indexer model is not defined.","Indexer model is not defined."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model should extend Mage_Index_Model_Indexer_Abstract."
"Manual Update","Manuaalinen päivitys"
"Mode","Tila"
"Never","Ei koskaan"
"No","Ei"
"One or more of the Indexes are not up to date:","Yksi tai useampi indeksi ei ole ajan tasalla:"
"Please select Index(es)","Valitse indeksit"
"Please select Indexes","Valitse indeksit"
"Process Information","Käsittelyn tiedot"
"Processing","Käsitellään"
"Ready","Valmis"
"Refresh","Päivitä"
"Reindex Data","Uudelleenindeksoi tiedot"
"Reindex Required","Tarvitaan uudelleenindeksointi"
"Revoke","Kumoa"
"Status","Tila"
"System","Järjestelmä"
"The index has been saved.","Indeksi on tallennettu."
"There was a problem with reindexing process.","Uudellenindeksoinnissa ilmeni ongelmia."
"There was a problem with saving process.","Tallennettaessa ilmeni ongelmia."
"Total of %d index(es) have changed index mode.","Total of %d index(es) have changed index mode."
"Total of %d index(es) have reindexed data.","Yhteensä %d inedksiä on uudelleenideksoitu."
"Update Required","Vaaditaan päivitys"
"Update on Save","Päivitä tallennettaessa"
"Updated At","Päivitetty"
"Yes","Kyllä"
