"(Make sure you keep it in a safe place.)","Säilytä salausavain piilossa!"
"(Optional. Leave blank for no prefix)","(Vapaaehtoinen. Tyhjänä ei etuliitettä)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Valinnainen polku perusosoitteen jälkeen ylläpitoon kirjaumiselle (esim. yllapito, hallinta)."
"Admin Path","Ylläpidon osoite"
"After successfull installation please click the button below.","Asennuksen onnistuttua paina alapuolella olevaa painiketta."
"All packages were installed, click 'OK' to continue with installation.","Kaikki paketit on asennettu. Paina 'OK' jatkaaksesi asennusta."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Vaihtoehtoisesti on mahdollista käyttää 'Manuaaliset lataukset ja päivitykset' -menetelmää."
"Base URL","Juuriosoite"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Ennen kuin jatkat, ota salausavain talteen. Sitä käytetään esimerkiksi salattaessa salasanoja ja luottokorttinumeroita."
"Check out our","Katso"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Valitse tämä kohta vain jos ei ole mahdollista automaattisesti vahvistaa salattua URL-osoitetta. Esimerkiksi jos vaaditaan HTTP-varmennus."
"Check this box only if it is not possible to automatically validate the Base URL.","Valitse tämä kohta vain jos ei ole mahdollista automaattisesti vahvistaa URL-perusosoitetta."
"Choose this if you would like to test frontend and backend functionality.","Valitse tämä jos haluat testata kaupan puolen ja ylläpidon toimivuutta."
"Configuration","Asetukset"
"Confirm Password","Vahvista salasana"
"Connection","Yhteys"
"Continue","Jatka"
"Continue After Manual Download","Jatka manuaalisen latauksen jälkeen"
"Continue Full Download / SVN Installation","Jatka täysversion latausta / Kehitysversion asennusta SVN:stä"
"Create Admin Account","Ylläpidon käyttäjätili"
"Currently this is the most stable state available for Magento packages.","Tällä hetkellä tämä on vakain saatavilla oleva Magenton versio."
"Database","Tietokanta"
"Database Connection","Tietokantayhteys"
"Database Name","Tietokannan nimi"
"Database Name cannot be empty.","Tietokannan nimi ei voi olla tyhjä."
"Database Type","Tietokannan tyyppi"
