" Copy"," Kopioi"
"Action","Toiminto"
"Add New Template","Lisää uusi pohja"
"Add to Queue","Lisää lähetysjonoon"
"Allow Guest Subscription","Salli rekisteröitymättömien tilata"
"An error occurred while saving your subscription.","Tilausta tallennettaessa tapahtui virhe."
"Are you sure that you want to delete this template?","Poistetaanko tämä pohja?"
"Are you sure that you want to strip all tags?","Haluatko varmasti poistaa kaikki asiasanat?"
"Back","Takaisin"
"Cancel","Peruuta"
"Cancelled","Peruttu"
"Cannot mark as received subscriber.","Ei voida merkitä vastaanottaneeksi tilaajaksi."
"Confirmation Email Sender","Uutiskirjeen tilauksen vahvistussähköpostin lähettäjä"
"Confirmation Email Template","Uutiskirjeen tilauksen vahvistussähköpostin mallipohja"
"Confirmation request has been sent.","Vahvistuspyyntö on lähetetty."
"Convert to Plain Text","Muunna pelkäksi tekstiksi"
"Create Newsletter Template","Lisää uutiskirjeen mallipohja"
"Customer","Asiakas"
"Customer First Name","Asiakkaan etunimi"
"Customer Last Name","Asiakkaan sukunimi"
"Customer My Account Newsletter Subscriptions","Asiakkaan oma tili uutislehden tilaukset"
"Date Added","Lisätty"
"Date Updated","Päivitetty"
"Delete","Poista"
"Delete Selected Problems","Poista valitut virheet"
"Delete Template","Poista pohja"
"Do you really want to cancel the queue?","Haluatko varmasti peruuttaa lähetyksen?"
"Duplicate template code.","Monista mallipohjan koodi."
"Edit Newsletter","Muokkaa uutiskirjettä"
"Edit Newsletter Template","Muokkaa uutiskirjeen mallipohjaa"
"Edit Queue","Muokkaa lähetysjonoa"
"Edit Template","Muokkaa pohjaa"
"Email","Sähköposti"
"Enter your email address","Kirjoita sähköpostiosoitteesi"
"Error Code","Virhekoodi"
"Error Text","Virheteksti"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Jos et halua vastaanottaa näitä uutiskirjeitä, <a href=""{{var subscriber.getUnsubscriptionLink()}}"">peruuta uutiskirjeen tilaus tästä</a><!-- Tämä tagi on tilauksen lopettamislinkki -->"
"Guest","Vieras"
"ID","Tunniste"
"Invalid queue selected.","Valittu virheellinen lähetysjono."
"Invalid subscription ID.","Tilaustunniste on virheellinen."
"Invalid subscription confirmation code.","Tilauksen vahvistuskoodi on virheellinen."
"Message","Viesti"
"Need to Confirm","Vaaditaan vahvistus"
"New Newsletter Template","Uusi uutiskirjeen mallipohja"
"New Template","Uusi pohja"
"Newsletter","Uutiskirje"
"Newsletter Message Preview","Uutiskirjeen viestin esikatselu"
"Newsletter Problem Reports","Uutiskirjeiden virheraportit"
"Newsletter Queue","Uutiskirjeiden lähetysjono"
"Newsletter Section","Uutiskirje -osio"
"Newsletter Sign-up:","Uutiskirjeen tilaus:"
"Newsletter Styles","Uutiskirjeen tyylit"
"Newsletter Subscribers","Uutiskirjeen tilaajat"
"Newsletter Subscription","Uutiskirjeiden tilaus"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","Uutiskirjeiden tilaukset"
"Newsletter Templates","Uutiskirjeiden pohjat"
"Newsletter subscription confirmation","Uutiskirjeen tilauksen vahvistaminen"
"Newsletter subscription success","Uutiskirjeen tilaus onnistui"
"Newsletter unsubscription success","Uutiskirjeen peruuttaminen onnistui"
"No Templates Found","Mallipohjia ei löydy."
"No problems found.","Virheitä ei löydy."
"No subscribers selected.","Tilaajia ei ole valittu."
"Not Activated","Ei ole aktivoitu"
"Not Sent","Ei ole lähetetty"
"Pause","Keskeytä"
"Paused","Keskeytetty"
"Please enter a valid email address.","Kirjoita toimiva sähköpostiosoite."
"Please enter new template name","Kirjoita uusi mallipohjan nimi"
"Please refer to exeption.log","Katso exeption.log -tiedostosta."
"Please select subscriber(s)","Valitse tilaajat"
"Preview","Esikatselu"
"Preview Template","Esikatsele pohjaa"
"Processed","Käsitelty"
"Queue Date Start","Lähetyksen aloitusaika"
"Queue Finish","Lähetyksen loppu"
"Queue Information","Lähetyksen tiedot"
"Queue Newsletter...","Uutiskirje lähetysjonoon..."
"Queue Start","Lähetyksen aloitus"
"Queue Subject","Lähetyksen aihe"
"Recipients","Vastaanottajat"
"Reset","Nollaa"
"Resume","Jatka"
"Return HTML Version","Palaa HTML-versioon"
"Save As","Tallenna nimellä..."
"Save Newsletter","Tallenna uutiskirje"
"Save Template","Tallenna pohja"
"Save and Resume","Tallenna ja jatka"
"Selected problem subscribers have been unsubscribed.","Valittujen ongelmallisten tilaajien tilaus on päätetty."
"Selected problems have been deleted.","Valitut virheet on poistettu."
"Sender","Lähettäjä"
"Sender Email","Lähettäjän sähköposti"
"Sender Name","Lähettäjän nimi"
"Sending","Lähetetään"
"Sent","Lähetetty"
"Sign Up for Our Newsletter:","Sähköpostiosoite:"
"Sign up for our newsletter","Uutiskirjeen tilaus"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Valitettavasti rekisteröitymättömiltä on estetty tilaaminen. <a href=""%s"">Rekisteröidy tästä</a>."
"Start","Aloita"
"Status","Tila"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Subject","Aihe"
"Submit","Lähetä"
"Subscribe","Tilaa"
"Subscribed","Tilattu"
"Subscriber","Tilaaja"
"Subscribers","Tilaajat"
"Subscribers From","Tilaajat alkaen"
"Subscription Options","Tilausasetukset"
"Success Email Sender","Onnistuneen toiminnon sähköpostin lähettäjä"
"Success Email Template","Onnistuneen toiminnon sähköpostin mallipohja"
"Template Content","Pohjan sisältö"
"Template Information","Pohjan tiedot"
"Template Name","Pohjan nimi"
"Template Styles","Pohjan tyylit"
"Template Subject","Pohjan aihe sähköpostissa"
"Template Type","Mallipohjan tyyppi"
"Thank you for your subscription.","Kiitos uutiskirjeen tilaamisesta."
"The subscription has been removed.","Tilaus on päätetty."
"The subscription has been saved.","Uutiskirjeen tilaus on tallennettu."
"There was a problem with the subscription.","Tilauksessa ilmeni ongelma."
"There was a problem with the subscription: %s","Tilauksessa ilmeni seuraava ongelma: %s"
"There was a problem with the un-subscription.","Tilauksen peruutuksessa ilmeni ongelma."
"This email address is already assigned to another user.","Sähköpostiosoite on jo toisen asiakkaan käytössä tässä verkkokaupassa."
"Type","Tyyppi"
"Unconfirmed","Vahvistamaton"
"Unsubscribe","Peruuta tilaus"
"Unsubscribe Selected","Peruuta valitut tilaukset"
"Unsubscribed","Tilaus on peruttu"
"Unsubscription Email Sender","Perumisilmoitussähköpostin lähettäjä"
"Unsubscription Email Template","Onnistuneen perumisen sähköpostin mallipohja"
"View Newsletter","Näytä uutiskirje"
"Website","Sivusto"
"You have been unsubscribed.","Uutiskirjeen tilaus on peruttu."
"Your subscription has been confirmed.","Tilaus on vahvistettu."
"Subscribe newsletter","Tilaa Atenan uutiskirje"
