"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%'  on liian pitkä. Pituuden täytyy olla %min% merkkiä."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%'  on liian lyhyt. Pituuden täytyy olla %min% merkkiä."
"* Required Fields","* pakollinen"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> pyytää päästä tilillesi."
"Admin","Ylläpito"
"After authorization application will have access to you account.","Vahvistuksen jälkeen sovelluksella on pääsy tilillesi."
"An error occurred on confirm authorize.","Lupaa vahvistettaessa tapahtui virhe."
"An error occurred on delete action.","Poistettaessa tapahtui virhe."
"An error occurred on delete application.","Poistettaessa sovellusta tapahtui virhe."
"An error occurred on reject authorize.","An error occurred on reject authorize."
"An error occurred on saving consumer data.","Asiakkaan tietoja tallennettaessa tapahtui virhe."
"An error occurred on update revoke status.","An error occurred on update revoke status."
"An error occurred while deleting the consumer.","Asiakasta poistettaessa tapahtui virhe."
"An error occurred.","Tapahtui virhe."
"An error occurred. Your authorization request is invalid.","Tapahtui virhe. Vahvistumispyyntö on virheellinen."
"App Name","Sovelluksen nimi"
"Application ""%s"" has been deleted.","Sovellus ""%s"" on poistettu."
"Application ""%s"" has been enabled.","Sovellus ""%s"" on otettu käyttöön."
"Application ""%s"" has been revoked.","Application ""%s"" has been revoked."
"Application Name","Sovelluksen nimi"
"Application not found.","Sovellusta ei löydy."
"Are you sure you want to delete this application?","Poistetaanko tämä sovellus?"
"Are you sure you want to disable this application?","Otetaanko tämä sovellus pois käytöstä?"
"Are you sure you want to enable this application?","Otetaanko tämä sovellus käyttöön?"
"Authorization confirmed","Lupa vahvistettu"
"Authorization confirmed.","Lupa vahvistettu."
"Authorize","Varmenna"
"Authorize application","Lupahakemus"
"Authorized Tokens","Authorized Tokens"
"Callback URL","Callback URL"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Cleanup Probability","Cleanup Probability"
"Cleanup Settings","Cleanup Settings"
"Close","Sulje"
"Confirm OAuth token authorization","Confirm OAuth token authorization"
"Confirm token authorization Pop Up for admin","Confirm token authorization Pop Up for admin"
"Confirm token authorization for admin","Confirm token authorization for admin"
"Confirmation Of Authorization","Luvan vahmistaminen"
"Consumer Information","Asiakastiedot"
"Consumer Name","Asiakkaan nimi"
"Consumers","Asiakkaat"
"Created At","Lisätty"
"Customer","Asiakas"
"Customer My Account My OAuth Applications","Customer My Account My OAuth Applications"
"Delete","Poista"
"Disable","Poista käytöstä"
"Disabled","Pois käytöstä"
"Edit","Muokkaa"
"Edit Consumer","Muokkaa asiakasta"
"Email","Sähköposti"
"Email Address","Sähköpostiosoite"
"Enable","Ota käyttöön"
"Enabled","Käytössä"
"Entry with ID #%s not found.","Entry with ID #%s not found."
"Expiration Period","Expiration Period"
"Give the verifier code to application administrator","Give the verifier code to application administrator"
"ID","Tunniste"
"Invalid Callback URL","Invalid Callback URL"
"Invalid ID parameter.","Invalid ID parameter."
"Invalid Rejected Callback URL","Invalid Rejected Callback URL"
"Invalid entry ID.","Invalid entry ID."
"Invalid revoke status.","Invalid revoke status."
"Key","Avain"
"Log In","Kirjaudu sisään"
"Log in as a customer","Sisäänkirjaudu asiakkaana"
"Log in as admin","Sisäänkirjaudu ylläpitäjänä"
"Log in as customer","Sisäänkirjaudu asiakkaana"
"Log in to use <strong>%s</strong>","Kirjaudu sisään käyttääksesi <strong>%s</strong>"
"Login","Kirjaudu sisään"
"My Applications","Omat sovellukset"
"Name","Nimi"
"New Consumer","Uusi asiakas"
"OAuth","OAuth "
"OAuth Admin My Apps","OAuth ylläpitäjän Omat sovellukset"
"OAuth Authorized Tokens","OAuth Authorized Tokens"
"OAuth Consumers","OAuth asiakkaat"
"OAuth authorization Pop Up for customer","OAuth authorization Pop Up for customer"
"OAuth authorization for admin","OAuth authorization for admin"
"OAuth authorization for customer","OAuth authorization for customer"
"OAuth authorization simple for admin","OAuth authorization simple for admin"
"Password","Salasana"
"Permissions","Oikeudet"
"Please login to proceed authorization.","Please login to proceed authorization."
"Please select needed row(s).","Valitse tarvittavat rivit."
"Please select revoke status.","Please select revoke status."
"REST - My Apps","REST - Omat sovellukset"
"REST - OAuth Authorized Tokens","REST - OAuth Authorized Tokens"
"REST - OAuth Consumers","REST - OAuth asiakkaat"
"Reject","Hylkää"
"Reject OAuth token authorization","Reject OAuth token authorization"
"Reject authorization","Reject authorization"
"Reject token authorization Pop Up for admin","Reject token authorization Pop Up for admin"
"Reject token authorization for admin","Reject token authorization for admin"
"Rejected Callback URL","Rejected Callback URL"
"Rejection Of Authorization","Rejection Of Authorization"
"Revoked","Revoked"
"Role Name","Roolinimi"
"Save","Tallenna"
"Save and Continue Edit","Tallenna ja jatka muokkausta"
"Secret","Salainen"
"Selected entries enabled.","Selected entries enabled."
"Selected entries has been deleted.","Selected entries has been deleted."
"Selected entries revoked.","Selected entries revoked."
"Status","Tila"
"System","Järjestelmä"
"The application access request is rejected.","The application access request is rejected."
"The consumer has been deleted.","Asiakas on poistettu."
"The consumer has been saved.","Asiakas on tallennettu."
"Token Status Change","Tunnuksen tilan muuttaminen"
"Token Status Change Email Template","Token Status Change Email Template"
"Unable to find a consumer.","Asiakasta ei löydy."
"User ID","Käyttäjätunniste"
"User Name","Käyttäjätunnus"
"User Type","Käyttäjätyyppi"
"Verifier code: %s","Verifier code: %s"
"You have no applications.","Sovelluksia ei ole."
"deleted","poistettu"
"enabled","kytketty"
"revoked","revoked"
