"%s Item(s)","%s kohdetta"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento esittelyverkkokauppa. Kaikki oikeudet pidätetään."
"(Shift-)Click or drag to change value","(Vaihtonäppäin)-klikkaaminen tai vetäminen muuttaa arvon"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Paina mitä tahansa ajan osaa lisätäksesi sitä"
"- Hold mouse button on any of the above buttons for faster selection.","- Pidä hiiren painiketta alhaalla millä tahansa yllä olevilla painikkeilla tehdäksesi valinnan nopeammin."
"- Use the %s buttons to select month","- Käytä painikkeita %s kuukauden valintaan"
"- Use the %s, %s buttons to select year","- Käytä painikkeita %s, %s vuoden valintaan"
"- or Shift-click to decrease it","- tai vaihtonäppäin-klikkaa vähentääksesi sitä"
"- or click and drag for faster selection.","- tai valitse ja vedä valitaksesi nopeammin."
"-- Please Select --","-- Valitse --"
"1 column","1 sarake"
"2 columns with left bar","2 saraketta ja vasen palkki"
"2 columns with right bar","2 saraketta ja oikea palkki"
"3 columns","3 saraketta"
"About the calendar","Tietoja kalenterista"
"All Empty Layout Pages","Kaikki tyhjät sommitelmasivut"
"All One-Column Layout Pages","Kaikki yhden sarakkeen sommitelmasivut"
"All Pages","Kaikki sivut"
"All Pages (Print Version)","Kaikki sivut (tulostettava versio)"
"All Three-Column Layout Pages","Kaikki kolmen sarakkeen sommitelmasivut"
"All Two-Column Layout Pages (Left Column)","Kaikki kahden sarakkeen sommitelmasivut (vasen sarake)"
"All Two-Column Layout Pages (Right Column)","Kaikki kahden sarakkeen sommitelmasivut (oikea sarake)"
"Allow","Salli"
"Breadcrumbs","Osoitepolku"
"Click <a href=""%s"">here</a> if nothing has happened","Paina <a href=""%s"">tästä</a> jos mitään ei tapahdu"
"Close","Sulje"
"Close Window","Sulje ikkuna"
"DHTML Date/Time Selector","Toiminnallinen päivä / aika -valintaikkuna"
"Date selection:","Päivämäärän valinta:"
"Default Description","Oletuskuvaus"
"Default welcome msg!","Oletustervetuloviesti!"
"Display %s first","Näytä %s ensin"
"Distributed under GNU LGPL. See %s for details.","Jaetaan GNU LGPL -lisenssillä. Lue lisää %s."
"Drag to move","Siirrä vetämällä"
"Empty","Tyhjä"
"For latest version visit: %s","Viimeisin versio osoitteesta %s"
"Free Shipping on orders over 50$","Ilmainen kuljetus yli X € tilauksissa"
"Go Today","Siirry tähän päivään"
"Help Us to Keep Magento Healthy","Auta pitämään Magento virheettömänä"
"Interface Language","Käyttöliittymän kieli"
"Items %s to %s of %s total","Tuotteet %s - %s / %s"
"JavaScript seems to be disabled in your browser.","Näyttää siltä että JavaSrcript on pois käytöstä selaimessasi."
"Left Column","Vasen sarake"
"Main Content Area","Pääsisältöalue"
"Navigation Bar","Navigointipalkki"
"Next","Seuraava"
"Next month (hold for menu)","Seuraava kuukausi (pidä avaa valikon)"
"Next year (hold for menu)","Seuraava vuosi (pidä avaa valikon)"
"Page Bottom","Sivun alaosa"
"Page Footer","Sivun alatunniste"
"Page Header","Sivun ylätunniste"
"Page Top","Sivun yläosa"
"Page:","Sivu:"
"Prev. month (hold for menu)","Edell. kuukausi (pidä avaa valikon)"
"Prev. year (hold for menu)","Edell. vuosi (pidä avaa valikon)"
"Previous","Edellinen"
"Redirecting...","Uudelleenohjataan..."
"Report All Bugs","Ilmoita kaikista virheistä"
"Right Column","Oikea sarake"
"Select Store","Valitse kauppa"
"Select Store:","Valitse kauppa:"
"Select date","Valitse päivämäärä"
"Show","Näytä"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Tämä on esittelyverkkokauppa. Kaupassa tehtyjä tilauksia ei toimiteta."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Verkkokaupan kaikkien ominaisuuksien käyttäminen vaatii  evästeiden hyväksymistä. Lisätietoa evästeistä löytyy sivulta <a href=""%s"">Evästeiden tietoturva</a>. Salliaksesi evästeet tässä verkkokaupassa, paina allaolevaa hyväksymispainiketta."
"Time selection:","Ajan valinta:"
"Time:","Aika:"
"Welcome, %s!","Kirjautuneena %s"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Sinun täytyy kytkeä selaimen JavaScipt päälle, jotta voit hyödyntää täysin tämän verkkokaupan toimintoja."
"Your Language","Kielivalinta"
"Your Language:","Kielivalinta:"
"per page","/ sivu"
"Blog archieve","Uutisarkisto"
