"An error occurred while clearing the external full page cache.","An error occurred while clearing the external full page cache."
"Cookie Lifetime (seconds)","Evästeen elinaika (sekunteina)"
"Enable External Cache","Ota käyttöön ulkoinen välimuisti"
"External Cache Control","Ulkoisen välimuistin toiminta"
"External Full Page Cache Settings","External Full Page Cache Settings"
"External full page cache.","External full page cache."
"Failed to load external cache control","Failed to load external cache control"
"Flush External Page Cache","Flush External Page Cache"
"If empty, default value will be used.","Tyhjänä käytetään oletusarvoa."
"The external full page cache has been cleaned.","The external full page cache has been cleaned."
"Zend Full Page Cache","Zend Full Page Cache"
