"""Remember Me"" Default Value","""Muista minut"" oletusarvo"
"(Not %s?)","(Ei %s?)"
"* Required Fields","* pakollinen"
"Address","Osoite"
"Address Information","Osoitetiedot"
"Already registered?","Onko sinulla jo oma tili?"
"Back","Takaisin"
"Business ID","Y-tunnus"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Oman tilin luomisesta on monenlaista hyötyä. Se  nopeuttaa tilauksen tekemistä, sallii useiden toimitusosoitteiden käyttämisen ja antaa mahdollisuuden seurata tilausten etenemistä."
"Cannot load configuration from file %s.","Tiedostosta %s ei voi ladata asetuksia."
"Checkout as Guest","Osta rekisteröitymättä"
"Checkout as a Guest or Register","Osta rekisteröitymättä tai luo oma tili"
"City","Postitoimipaikka"
"Clear Persistence on Log Out","Tyhjennä ostoskori kirjauduttaessa ulos"
"Close","Sulje"
"Company","Yritys"
"Confirm Password","Vahvista salasana"
"Continue","Jatka"
"Country","Maa"
"Create an Account","Luo oma tili"
"Easy access to your order history and status","helppo seurata tilauksia"
"Email Address","Sähköpostiosoite"
"Enable ""Remember Me""","Ota käyttöön ""Muista minut"""
"Enable Persistence","Ota käyttöön ostoskorin tallennus"
"Fast and easy check out","jouduttaa maksamista"
"Fax","Faksi"
"Forgot Your Password?","Salasana unohtunut?"
"Forgot your password?","Salasana unohtunut?"
"General Options","Yleiset asetukset"
"If you have an account with us, please log in.","Jos sinulla on jo oma tili, kirjaudu sisään verkkokauppaan."
"Loading next step...","Siirrytään seuraavaan vaiheeseen..."
"Login","Kirjaudu sisään"
"Login Information","Kirjautumistiedot"
"Login or Create an Account","Kirjaudu sisään tai luo oma tili"
"New Customers","Uudet asiakkaat"
"Password","Salasana"
"Persist Shopping Cart","Tallentuva ostoskori"
"Persistence Lifetime (seconds)","Tallentumisen elinaika (sekunteina)"
"Persistent Shopping Cart","Tallentuva ostoskori"
"Personal Information","Henkilökohtaiset tiedot"
"Please enter the following information to create your account.","Ole hyvä ja täytä seuraavat tiedot jatkaaksesi."
"Please log in below:","Kirjaudu sisään:"
"Please select region, state or province","Valitse maakunta"
"Register","Luo oma tili"
"Register and save time!","Luo oma tili"
"Register to Create an Account","Oma tili vaatii rekisteröitymisen"
"Register with us for future convenience:","Helpottaa ostoksia monella tapaa"
"Registered Customers","Rekisteröityneet asiakkaat"
"Remember Me","Muista minut"
"Save in address book","Tallenna osoitekirjaan"
"Select State/Province...","Valitse maakunta..."
"Select a billing address from your address book or enter a new address.","Valitse maksuosoite osoitekirjasta tai lisää uusi osoite."
"Ship to different address","Lähetä eri osoitteeseen"
"Ship to this address","Lähetä tähän osoitteeseen"
"Shopping cart has been updated with appropriate prices","Ostoskorin hinnat on päivitetty."
"Sign Up for Newsletter","Tilaa uutiskirje"
"State/Province","Maakunta"
"Street Address","Katuosoite"
"Street Address %s","Katuosoite %s"
"Submit","Lähetä"
"Telephone","Puhelin"
"To proceed to Checkout, please log in using your email address.","Maksaminen jatkuu kirjautumalla sisään sähköpostiosoitteella."
"VAT Number","Alv-numero"
"Welcome, %s!","Kirjautuneena %s"
"What's this?","Mikä tämä on?"
"Zip/Postal Code","Postinumero"
