"Alert Email Sender","Ilmoitussähköpostin lähettäjä"
"Alert subscription has been saved.","Ilmoitus on tallennettu."
"Allow Alert When Product Comes Back in Stock","Salli ilmoitus kun tuotetta on taas varastossa"
"Allow Alert When Product Price Changes","Salli ilmoitus kun tuotteen hinta muuttuu"
"Click here not to receive alerts for this product","Paina tästä jos et halua ilmoituksia tästä tuotteesta"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin mallipohja"
"Frequency","Aikaväli"
"Not enough parameters.","Arvoja ei ole tarpeeksi."
"Price Alert Email Template","Hintailmoituksen sähköpostin mallipohja"
"Price:","Hinta:"
"Product Alerts","Tuoteilmoitukset"
"Product Alerts Run Settings","Tuoteilmoitusten ajo"
"Product alerts Cron error","Tuoteilmoitusten ajovirhe"
"Product price alert","Tuotteen hintailmoitus"
"Product stock alert","Tuotteen saatavuusilmoitus"
"Regular Price:","Perushinta:"
"Sign up for price alert","Tilaa hintailmoitus"
"Sign up to get notified when this product is back in stock","Tilaa ilmoitus kun tuotetta on jälleen saatavilla"
"Special price:","Erikoishinta:"
"Start Time","Aloitusaika"
"Stock Alert Email Template","Saatavuusilmoituksen sähköpostin mallipohja"
"The alert subscription has been deleted.","Ilmoitus on poistettu."
"The alert subscription has been saved.","Ilmoitus on tallennettu."
"The product is not found.","Tuotetta ei löydy."
"The product was not found.","Tuotetta ei löydy."
"Unable to update the alert subscription.","Ilmoitustilausten piävitys ei onnistu."
"Unsubscribe from all price alerts","Peru kaikki hintailmoitukset"
"Unsubscribe from all stock alerts","Peru kaikki saatavuusilmoitukset"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Tämä viesti lähetettiin sinulle, koska olet tilannut ilmoituksen kun seuraavat tuotteet ovat jälleen saatavilla:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Tämä viesti lähetettiin sinulle, koska olet tilannut ilmoituksen kun seuraavien tuotteiden hinnat muuttuvat:"
"You will no longer receive price alerts for this product.","Et enää vastaanota hintailmoituksia tästä tuotteesta."
"You will no longer receive stock alerts for this product.","Et enää vastaanota saatavuusilmoituksia tästä tuotteesta."
"You will no longer receive stock alerts.","Et enää vastaanota saatavuusilmoituksia."
