"Abandoned Carts","Hylätyt ostoskorit"
"Abandoned carts","Hylätyt ostoskorit"
"Action","Toiminto"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää kauppalistaan"
"Any","Mikä tahansa"
"Applied Coupon","Käytetty kuponki"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Päivitetäänkö ikuiset tilastot? Toiminnon aikana saattaa esiintyä käytettävyyden hidastumista."
"Are you sure?","Vahvista toiminnon suorittaminen"
"Avg. Approved Rating","Hyväksyttyjen arvioiden keskiarvo"
"Avg. Rating","Arvioiden keskiarvo"
"Bestsellers","Myydyimmät"
"Bought from wishlists","Kauppalistalta ostetut"
"CSV","CSV"
"Carts","Ostoskorit"
"Catalog Category (Without Subcategories)","Luettelon luokka (ilman alaluokkia)"
"Compared Products Grid Template","Vertailtavat tuotteet taulukkona"
"Compared Products List Template","Vertailtavat tuotteet luettelona"
"Coupons","Kupongit"
"Coupons Usage Report","Kuponkien käyttöraportti"
"Created At","Lisätty"
"Current Month Starts","Kuluva kuukausi alkaa"
"Customer","Asiakas"
"Customer Name","Asiakkaan nimi"
"Customer Tags","Asiakkaiden antamat asiasanat"
"Customers","Asiakkaat"
"Customers Report","Asiakasraportti"
"Customers Reviews","Asiakkaiden arvostelut"
"Customers Tags","Asiakkaiden antamat asiasanat"
"Customers by Number of Orders","Asiakkaat tilausten lukumäärän mukaan"
"Customers by Orders Total","Asiakkaat tilausten loppusumman mukaan"
"Customers by number of orders","Asiakkaat tilausten lukumäärän mukaan"
"Customers by orders total","Asiakkaat tilausten loppusumman mukaan"
"Customers that have wishlist: %s%","Asiakkaat joilla on kauppalista: %s%"
"Dashboard","Ilmoitustaulu"
"Day","Päivä"
"Default Recently Compared Products Count","Viimeksi vertailtujen tuotteiden lukumäärä"
"Default Recently Viewed Products Count","Viimeksi katsottujen tuotteiden määrä"
"Description","Kuvaus"
"Detail","Lisätieto"
"Downloads","Lataukset"
"Email","Sähköposti"
"Empty Rows","Tyhjät rivit"
"Excel XML","Excel  XML"
"Filter","Suodatin"
"First Name","Etunimi"
"From","Alkaen"
"Guest","Vieras"
"Hits","Osumat"
"ID","Tunniste"
"IP Address","IP-osoite"
"Index model name must be defined","Indeksimallin nimi täytyy määritellä."
"Invalid date specified.","Päivämäärä on virheellinen."
"Invoiced","Laskutettu"
"Items in Cart","Ostoskorissa olevat tuotteet"
"Last Name","Sukunimi"
"Last Review","Viimeisin arvostelu"
"Link","Linkki"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Rekisteröitymättömien viimeksi vertaillut ja vertailusta poistamat tuotteet"
"List of Products Recently Viewed by Visitor","Rekisteröitymättöminen  viimeksi katsomat tuotteet"
"Low Stock","Alhainen varastotilanne"
"Low stock","Alhainen varastotilanne"
"Match Period To","Täsmää ajanjaksoon"
"Month","Kuukausi"
"Most Viewed","Katsotuimmat"
"Name","Nimi"
"New Accounts","Uudet tilit"
"No","Ei"
"No records found for this period.","Tälle aikavälille ei löydy tietueita."
"Number Added","Lisätty"
"Number Fulfilled","Täytetty"
"Number Of Reviews","Arvosteluja"
"Number Purchased","Laskutettujen määrä"
"Number Viewed","Katsottu (lkm)"
"Number of Items","Tuotteita"
"Number of New Accounts","Uusia tilejä"
"Number of Products to display","Näytettävien tuotteiden määrä"
"Number of Reviews","Arvosteluja"
"Number of Times Deleted","Poistetut kerrat"
"Number of Total Tags","Asiasanoja yhteensä"
"Number of Unique Tags","Yksilöllisiä asiasanoja"
"Number of Views","Katsottu (lkm)"
"Number of items bought from a wishlist: %s","Kauppalistalta ostettuja: %s"
"Number of times wishlists have been shared (emailed): %s","Sähköpostitse jaettuja kauppalistoja: %s"
"Number of wishlist conversions: %s","Kauppalistoja muunnettu: %s"
"Number of wishlist referrals: %s","Kauppalistoja ohjattu: %s"
"Number of wishlists: %s","Kauppalistoja: %s"
"Order Status","Tilauksen tila"
"Order Taxes Report Grouped by Tax Rate","Tilausten veroraportti verokannoittain ryhmiteltynä"
"Orders","Tilaukset"
"Out of stock","Ei ole varastossa"
"Period","Aikaväli"
"Poducts Report","Raportti tuotteista"
"Popular Tags","Suositut asiasanat"
"Popularity","Suosio"
"Price","Hinta"
"Product Name","Tuotteen nimi"
"Product Reviews","Tuotearvostelut"
"Product SKU","Tuotenumero"
"Product Tags","Tuotteiden asiasanat"
"Products","Tuotteet"
"Products Ordered","Tilatut tuotteet"
"Products Report","Raportti tuotteista"
"Products Reviews","Tuotteiden arvostelut"
"Products Tags","Tuotteiden asiasanat"
"Products in carts","Tuotteita ostoskoreissa"
"Purchases","Ostokset"
"Quantity Ordered","Tilattuja"
"Quantity of Items","Tuotteita"
"Recently Compared","Viimeksi vertaillut"
"Recently Compared Products","Viimeksi vertaillut"
"Recently Viewed","Viimeksi katsotut"
"Recently Viewed Products","Viimeksi katsotut"
"Recently Viewed/Compared Products","Viimeksi katsotut tai vertaillut tuotteet"
"Refresh Lifetime Statistics","Päivitä ikuiset tilastot"
"Refresh Statistics","Päivitä tilastot"
"Refresh Statistics for the Last Day","Päivitä tilastot edelliselle päivälle WK?"
"Refunds","Hyvitykset"
"Report","Raportti"
"Reports","Raportit"
"Results","Tulokset"
"Revenue","Liikevaihto"
"Review","Arvostelu"
"Reviews","Arvostelut"
"Reviews for %s","Tuotteen %s arvostelut"
"Sales","Myynti"
"Sales Report","Myyntiraportti"
"Search Query","Hakulauseke"
"Search Terms","Hakusanat"
"Select day of the month.","Valitse kuukaudenpäivä"
"Shipping","Toimitus"
"Shopping Cart","Ostoskori"
"Shopping Cart Price Rule","Ostoskorin hintasääntö"
"Show Actual Values","Näytä todelliset arvot"
"Show Report","Näytä raportti"
"Show for Current","Näkyvyys"
"Specified","Määrätty"
"Statistics","Tilastot"
"Stock Qty","Varaston määrä"
"Submitted In","Lähetetty (missä)"
"Submitted On","Lähetetty (milloin)"
"Subtotal","Välisumma"
"Tag","Asiasana"
"Tag ""%s"" details","Asiasanan ""%s"" lisätiedot"
"Tag Detail","Asiasanan lisätiedot"
"Tag Name","Asiasanan nimi"
"Tag Use","Asiasanan käyttö"
"Tags Submitted by %s","Asiasanan on lähettänyt %s"
"Tags submitted to %s","Asiasanat on lähetetty tuotteelle %s"
"Tax","Vero"
"Title","Nimi"
"To","Päättyen"
"Total","Yhteensä"
"Total Invoiced vs. Paid Report","Yhteensä laskutettu/maksettu raportti"
"Total Ordered Report","Tilausten kokonaissummaraportti"
"Total Refunded Report","Hyvitettyjen kokonaissummaraportti"
"Total Shipped Report","Toimitusten kokonaissummaraportti"
"Total Tags","Asiasanoja"
"Total invoiced","Laskutettu yhteensä"
"Total refunded","Hyvitetty yhteensä"
"Updated At","Päivitetty"
