"""%s"" coupon code is not valid.","""%s"" kuponki ei kelpaa."
"%s","%s"
"%s / %s rate:","%s / %s kurssi:"
"%s for %s","%s kohteelle %s"
"%s order(s) cannot be canceled","%s tilausta ei voi perua."
"%s order(s) have been canceled.","%s tilausta on peruttu."
"%s order(s) have been put on hold.","%s tilausta on asetettu pitoon."
"%s order(s) have been released from holding status.","%s tilausta on vapautettu pidosta."
"%s order(s) were not put on hold.","%s tilausta ei asetettu pitoon."
"%s order(s) were not released from holding status.","%s tilausta ei palautettu pidosta."
"* - Enter custom price excluding tax","* lisää veroton asiakashinta"
"* - Enter custom price including tax","* lisää verollinen asiakashinta"
"* Required Fields","* pakollinen"
"-- Please Select --","-- Valitse --"
"-- Please Select Billing Agreement--","-- Valitse maksusopimus --"
"About This Order:","Tietoja tästä tilauksesta:"
"About This Profile:","Tietoja tästä profiilista:"
"About Your Invoice","Tietoja laskusta"
"About Your Order","Tietoja tilauksesta"
"About Your Refund","Tietoja hyvityksestä"
"About Your Shipment","Tietoja toimituksesta"
"Accept Payment","Hyväksy maksu"
"Accept or Deny Payment","Hyväksy tai hylkää maksu"
"Account Information","Tilin tiedot"
"Action","Toiminto"
"Actions","Toiminnot"
"Activate","Ota käyttöön"
"Active","Käytössä"
"Add","Lisää"
"Add New Address","Lisää uusi osoite"
"Add Order Comments","Lisää tilaukseen kommentteja"
"Add Package","Lisää paketti"
"Add Products","Lisää tuotteita"
"Add Selected Product(s) to Option","Lisää valitut tuotteet valintaan"
"Add Selected Product(s) to Order","Lisää valitut tuotteet tilaukseen"
"Add Selected Product(s) to Package","Lisää valitut tuotteet pakettiin"
"Add To Order","Lisää tilaukseen"
"Add Tracking Number","Lisää seurantanumero"
"Add comment to order","Lisää kommentti tilaukseen"
"Add new comment to credit memo","Lisää uusi kommentti hyvityslaskuun"
"Add new comment to shipment","Lisää uusi kommentti toimitukseen"
"Add new tracking number","Lisää uusi seurantanumero"
"Add to Cart","Lisää ostoskoriin"
"Additional Product Info","Tuotteen tiedot"
"Address","Osoite"
"Address model is not defined.","Osoitemallia ei ole määritelty."
"Adjustment Fee","Muutoksen kulut"
"Adjustment Refund","Adjustment Refund"
"Agreement Information","Sopimustiedot"
"Allow Reorder","Salli uudelleentilaaminen"
"Amount","Summa"
"Amount: %s.","Summa: %s."
"An error occurred while assigning order status. Status has not been assigned.","Tilauksen tilaa asetettaessa tapahtui virhe. Tilaa ei ole asetettu."
"An error occurred while creating shipping label.","Lisättäessä osoitelappua tapahtui virhe."
"An error occurred while saving order status. The status has not been added.","Tilauksen tilaa tallennettaessa tapahtui virhe. Tilaa ei ole lisätty."
"An error occurred while unassigning order status.","Poistettaessa tilauksen tilan asetusta tapahtui virhe."
"An error occurred while updating the order address. The address has not been changed.","Päivitettäessä tilauksen osoitetta tapahtui virhe. Osoitetta ei ole muutettu."
"An item option with code %s already exists.","Kohteen asetus koodilla %s on jo olemassa."
"Anchor Custom Title","Anchor Custom Title"
"Append Comments","Liitä kommentit"
"Apply","Ota käyttöön"
"ApplyCampaignCode","Käytä"
"Apply Coupon Code","Lisää kuponkikoodi"
"Approved the payment online.","Approved the payment online."
"Are you sure you want to accept this payment?","Hyväksytäänkö tämä maksu?"
"Are you sure you want to cancel this order?","Perutaanko tämä tilaus?"
"Are you sure you want to delete all items from shopping cart?","Haluatko poistaa kaikki tuotteet ostoskorista?"
"Are you sure you want to deny this payment?","Hylätäänkö tämä maksu?"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure you want to send Creditmemo email to customer?","Lähetetäänkö hyvityslaskusähköposti asiakkaalle?"
"Are you sure you want to send Invoice email to customer?","Lähetetäänkö laskusähköposti asiakkaalle?"
"Are you sure you want to send Shipment email to customer?","Lähetetäänkö toimitussähköposti asiakkaalle?"
"Are you sure you want to send order email to customer?","Lähetetäänkö tilaussähköposti asiakkaalle?"
"Are you sure you want to void the payment?","Mitätöidäänkö maksu?"
"Are you sure?","Vahvista toiminnon suorittaminen"
"Are you sure? This order will be canceled and a new one will be created instead","Oletko varma? Tämä tilaus perutaan ja sen tilalle tehdään uusi tilaus."
"Assign Order Status to State","Liitä tilauksen tila tilausvaiheeseen"
"Assign Status to State","Liitä tila tilausvaiheeseen"
"Assignment Information","Liitännän tiedot"
"At least a payment ID must be set.","Vähintään maksun tunniste täytyy asettaa."
"Atena order confirmation note","Toimitamme verkkokauppatilaukset 3-7 arkipäivän kuluessa."
"Authorization","Varmistus"
"Authorized amount of %s.","Varmennettu summa on %s."
"Authorizing amount of %s is pending approval on gateway.","Varmennettava summa %s odottaa hyväksyntää maksuyhteydessä."
"Back","Takaisin"
"Back to Billing Agreements","Takaisin maksusopimuksiin"
"Back to My Orders","Takaisin tilauksiin"
"Back to Recurring Profiles","Takaisin osamaksusopimuksiin"
"Backordered","Backordered"
"Bestsellers","Myydyimmät"
"Bill to Name","Lasku nimellä"
"Billing","Laskutus"
"Billing Address","Maksuosoite"
"Billing Agreement","Maksusopimus"
"Billing Agreement # %s","Maksusopimus %s"
"Billing Agreement #%s","Maksusopimus %s"
"Billing Agreement View","Maksusopimusnäkymä"
"Billing Agreements","Maksusopimukset"
"Billing Last Name","Maksajan sukunimi"
"Billing ZIP Code","Maksajan postinumero"
"Buy %s for price %s","Osta %s hintaan %s"
"CSV","CSV"
"Cancel","Peruuta"
"Cancel credit memo","Peru hyvityslasku"
"Cancel invoice","Peru lasku"
"Cancel order","Peru tilaus"
"Canceled","Peruttu"
"Canceled order offline.","Tilaus on peruttu muutoin kuin verkkokaupasta."
"Canceled order online.","Tilaus on peruttu verkkokaupassa."
"Cannot add order history.","Tilaushistoriaa ei voi lisätä."
"Cannot create an empty shipment.","Tyhjää toimitusta ei voi lisätä."
"Cannot determine the field name.","Kentän nimeä ei voi määritellä."
"Cannot do invoice for order.","Tilaukselle ei voi tehdä laskua."
"Cannot do shipment for order.","Tilaukselle ei voi tehdä toimitusta."
"Cannot get order instance","Cannot get order instance"
"Cannot get the order instance.","Cannot get the order instance."
"Cannot register an existing credit memo.","Olemassaolevaa hyvityslaskua ei voi rekisteröidä."
"Cannot register existing invoice","Olemassaolevaa laskua ei voi rekisteröidä."
"Cannot register existing shipment","Olemassaolevaa toimitusta ei voi rekisteröidä."
"Capture","Vastaanota"
"Capture Amount","Vastaanota määrä"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Capture invoice","Vastaanota lasku"
"Captured amount of %s online.","Varmennettu %s maksupalvelussa."
"Capturing amount of %s is pending approval on gateway.","Vastaanotettava summa %s odottaa hyväksyntää maksupalvelussa."
"Carrier","Operaattori"
"Carrier/Method","Operaattori / Tapa"
"Change status, add comments","Muuta tila, lisää kommentteja"
"Changing address information will not recalculate shipping, tax or other order amount.","Osoitteen muuttaminen ei laske uudestaan toimitusta, veroja tai muita tilausmääriä."
"Checkout Totals Sort Order","Maksun loppusummien järjestys"
"City","Postitoimipaikka"
"Clear Shopping Cart","Tyhjennä ostoskori"
"Click to change shipping method","Lähetystapa vaihdetaan painamalla"
"Close","Sulje"
"Closed","Suljettu"
"Comma-separated.","Erotetaan pilkuilla."
"Comment","Kommentti"
"Comment Text","Kommentin teksti"
"Comments","Kommentit"
"Comments History","Lähetetyt kommentit"
"Company","Yritys"
"Complete","Valmis"
"Configure","Muokkaa"
"Configure and Add to Order","Muokkaa ja lisää tilaukseen"
"Contents","Sisällöt"
"Continue","Jatka"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","Näytetäänkö asiakkaan IP-osoite tilauksissa, laskuissa, toimituksissa ja hyvityslaskuissa."
"Country","Maa"
"Coupons","Kupongit"
"Create","Lisää"
"Create New Customer","Lisää uusi asiakas"
"Create New Order","Lisää uusi tilaus"
"Create New Order Status","Lisää uusi tilauksen tila"
"Create New Order for %s","Lisää uusi tilaus asiakkaalle %s"
"Create New Order for %s in %s","Lisää uusi tilaus asiakkaalle %s kaupassa %s"
"Create New Order for New Customer","Lisää uudelle asiakkaalle uusi tilaus"
"Create New Order for New Customer in %s","Lisää uudelle asiakkaalle uusi tilaus kaupassa %s"
"Create New Status","Lisää uusi tila"
"Create Packages","Lisää paketteja"
"Create Shipment","Lisää toimitus"
"Create Shipping Label","Lisää osoitelappu"
"Create Shipping Label...","Lisää osoitelappu..."
"Create new credit memo for order","Lisää uusi hyvityslasku tilaukseen"
"Create new invoice for order","Lisää uusi lasku tilaukseen"
"Create new shipment for order","Lisää uusi toimitus tilaukseen"
"Create...","Lisää..."
"Created At","Lisätty"
"Created billing agreement #%s.","Maksusopimus %s on lisätty."
"Created:","Lisätty:"
"Credit Memo","Hyvityslasku"
"Credit Memo #","Hyvityslasku "
"Credit Memo # ","Hyvityslasku  "
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","Hyvityslasku %1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","Hyvityslaskun kommenttisähköpostin lähettäjä"
"Credit Memo Comment Email Template","Hyvityslaskun kommenttisähköpostin mallipohja"
"Credit Memo Comment Email Template for Guest","Hyvityslaskun kommenttisähköpostin mallipohja rekisteröitymättömälle"
"Credit Memo Comments","Hyvityslaskun kommentit"
"Credit Memo Email Sender","Hyvityslaskusähköpostin lähettäjä"
"Credit Memo Email Template","Hyvityslaskusähköpostin mallipohja"
"Credit Memo Email Template for Guest","Hyvityslaskusähköpostin mallipohja rekisteröitymättömälle"
"Credit Memo Update","Hyvityslaskun päivitys"
"Credit Memo Update for Guest","Hyvityslaskun päivitys rekisteröitymättömälle"
"Credit Memos","Hyvityslaskut"
"Credit memo canceling problem.","Hyvityslaskun perumisessa ilmeni ongelma."
"Credit memo cannot be canceled.","Hyvityslaskua ei voi perua."
"Credit memo has been created automatically","Hyvityslasku on lisätty automaattisesti."
"Custom Price","Muokattu hinta"
"Custom Value","Muokattu arvo"
"Customer","Asiakas"
"Customer Can Define Start Date","Asiakas voi määritellä aloituspäivän"
"Customer Email","Asiakkaan sähköposti"
"Customer Group","Asiakasryhmä"
"Customer Last Name","Asiakkaan sukunimi"
"Customer My Account Order Creditmemo View","Asiakkaan oman tilin tilauksen hyvityslaskunäkymä"
"Customer My Account Order History","Asiakkaan oman tilin tilaushistoria"
"Customer My Account Order Invoice View","Asiakkaan oman tilin tilauksen laskunäkymä"
"Customer My Account Order Shipment View","Asiakkaan oman tilin tilauksen toimitusnäkymä"
"Customer My Account Order View","Asiakkaan oman tilin tilausnäkymä"
"Customer Name","Asiakkaan nimi"
"Customer's Current Activities","Asiakkaan tämänhetkiset toiminnot"
"Customs Value","Tullausarvo"
"Date","Päivämäärä"
"Date Shipped","Lähetyspäivä"
"Default Status","Oletustila"
"Default Template","Oletusmallipohja"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If you see image distortion in PDF, try to use larger image","Oletuslogoa käytetään PDF- ja HTML-dokumenteissa.<br />(jpeg, tiff, png). Jos näet kuvan vääristyneenä PDF-dokumentissa, käytä suurempaa kuvaa."
"Delete","Poista"
"Delete Package","Poista paketti"
"Denied the payment online.","Maksu kielletty verkkokaupan kautta."
"Deny Payment","Estä maksu"
"Description Message","Vähimmäistilauksen alituksen viesti"
"Discount","Alennus"
"Discount (%s)","Alennus (%s)"
"Discount Amount","Alennuksen määrä"
"Display Order ID in Header","Näytä tilausnumero ylätunnisteessa"
"Edit","Muokkaa"
"Edit Order #%s","Muokkaa tilausta %s"
"Edit Order %s %s Address","Muokkaa tilauksen %s %s osoitetta"
"Edit Order Status","Vaihda tilauksen tila"
"Events","Tapahtumat"
"Email","Sähköposti"
"Email Address","Sähköpostiosoite"
"Email Copy of Credit Memo","Sähkökopstiokopio hyvityslaskusta"
"Email Copy of Invoice","Sähköpostikopio laskusta"
"Email Copy of Shipment","Sähköpostikopio toimituksesta"
"Email Order Confirmation","Sähköposti tilausvahvistuksesta"
"Enable","Ota käyttöön"
"Enabled","Käytössä"
"Enter the billing last name and email/ZIP as in the order billing address","Lisää tilauksen maksajan sukunimi ja valinnaisesti sähköpostiosoite tai maksuosoitteen postinumero"
"Entered data is incorrect. Please try again.","Annettu tieto on virheellinen. Yritä uudestaan."
"Error to Show in Shopping Cart","Virhe näytettässä ostoskorissa"
"Excel XML","Excel  XML"
"Excl. Tax","Veroton"
"Expired","Vanhentunut"
"Explanation","Selvitys"
"Failed to cancel the billing agreement.","Maksusopimuksen peruutus epäonnistui."
"Failed to create billing agreement for this order.","Maksusopimuksen lisääminen tähän tilaukseen epäonnistui."
"Failed to finish billing agreement wizard.","Maksusopimusvelhon toiminnan saattaminen valmiiksi epäonnistui."
"Failed to send the order email.","Tilaussähköpostin lähetys epäonnistui."
"Failed to start billing agreement wizard.","Maksusopimusvelhon toiminnan aloittaminen epäonnistui."
"Failed to update the payment.","Maksun päivitys epäonnistui."
"Failed to update the profile.","Profiilin päivitys epäonnistui."
"Failed to void the payment.","Maksun mitätöinti epäonnistui."
"Fetch","Nouda"
"File extension not known or unsupported type in the following shipment: %s","Tiedostopäätettä ei tunnisteta tai tueta seuraavassa toimituksessa: %s"
"Find Order By:","Etsi tilaus käyttäen:"
"First Name","Etunimi"
"From","Alkaen"
"From Name","Lähettäjän nimi:"
"From:","Mistä:"
"G.T. (Base)","Loppusumma (perus)"
"G.T. (Purchased)","Loppusumma (laskutettu)"
"General","Yleinen"
"General Information","Yleistiedot"
"Get Payment Update","Nouda maksun päivitys"
"Get Update","Nouda päivitys"
"Get shipping methods and rates","Nouda lähetystavat ja -hinnat"
"Gift Message","Lahjaviesti"
"Gift Message for This Order","Lahjaviesti tähän tilaukseen"
"Gift Message for the Entire Order","Lahjaviesti koko tilaukseen"
"Gift Message for this Order","Lahjaviesti tähän tilaukseen"
"Gift Options","Lahjatiedot"
"Girth","Ympärysmitta"
"Grand Total","Loppusumma"
"Grand Total to be Charged","Veloitettava loppusumma"
"Guest","Vieras"
"Height","Korkeus"
"Hide Customer IP","Piilota asiakkaan IP-osoite"
"Hold","Aseta pitoon"
"Hold action is not available.","Pitotoiminto ei ole käytettävissä."
"Hold order","Aseta tilaus pitoon"
"ID","Tunniste"
"ID #","Numero"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s""","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s"""
"If empty, the default description above will be used.","Tyhjänä käytetään oletuskuvausta."
"If empty, the default error above will be used.","Tyhjänä käytetään oletusvirheilmoitusta."
"If the invoice was created offline, try creating an offline creditmemo.","Jos laskua ei ole tehty verkkokaupan kautta, yritä lisätä hyvityslasku myös samoin."
"Incl. Tax","Verollinen"
"Information","Tiedot"
"Initial Fee","Initial Fee"
