"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d ostoskorin hintasääntöä, jotka perustuvat ""%s"" -ominaisuuteen on kytketty pois."
"%s Coupon(s) have been generated","%s kuponkia on tehty"
"Actions","Toiminnot"
"Active","Käytössä"
"Add New Rule","Lisää uusi sääntö"
"Alphabetical","Aakkosellinen"
"Alphanumeric","Aakkosnumeerinen"
"An error occurred while generating coupons. Please review the log and try again.","Kuponkeja tehtäessä tapahtui virhe. Katso lokista ja yritä uudestaan."
"Apply","Ota käyttöön"
"Apply To","Käytetään"
"Apply the rule only if the following conditions are met (leave blank for all products)","Ota sääntö käyttöön vain jos seuraavat ehdot täyttyvät (tyhjänä kaikki tuotteet)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Ota sääntö käyttöön vain ostoskorin tuotteille, jotka täyttävät seuraavat ehdot (tyhjänä kaikki tuotteet)"
"Apply the rule to cart items matching the following conditions","Ota sääntö käyttöön ostoskorin tuotteille jotka täyttävät seuraavat ehdot"
"Apply to Shipping Amount","Koskee myös toimituskuluja"
"Are you sure you want to delete the selected coupon(s)?","Poistetaanko valitut kupongit?"
"Auto","Automaattisesti"
"Auto Generated Specific Coupon Codes","Automaattisesti muodostettavat kupongit"
"Buy X get Y free (discount amount is Y)","Osta X ja saat Y:n ilmaiseksi (alennuksen määrä on Y)"
"By Fixed value","Kiinteällä arvolla"
"By Percentage","Prosenttiosuudella"
"Can't acquire coupon.","Can't acquire coupon."
"Cart Attribute","Ostoskorin ominaisuus"
"Catalog","Luettelo"
"Code Format","Koodin muoto"
"Code Length","Koodin pituus"
"Code Prefix","Koodin etuliite"
"Code Suffix","Koodin loppuliite"
"Conditions","Ehdot"
"Conditions combination","Ehtojen yhdistelmä"
"Coupon","Kuponki"
"Coupon Code","Kupongin koodi"
"Coupon Qty","Kuponkien määrä"
"Coupon with the same code","Kuponki samalla koodilla"
"Coupons Information","Kuponkien tiedot"
"Created On","Lisätty"
"Customer Groups","Asiakasryhmät"
"Dash Every X Characters","Viiva joka X merkin välein"
"Date Expire","Päättymispäivä"
"Date Start","Alkamispäivä"
"Default Label","Oletusnimi"
