"Action","Toiminto"
"Add Sitemap","Lisää sivukartta"
"Always","Aina"
"CMS Pages Options","CMS-sivut"
"Categories Options","Luokat"
"Daily","Päivittäin"
"Edit Sitemap","Muokkaa sivukarttaa"
"Enabled","Käytössä"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin mallipohja"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Tiedostoa ""%s"" ei voi tallentaa. Varmista että hakemistoon ""%s"" on kirjoitusoikeudet."
"Filename","Tiedostonimi"
"Frequency","Aikaväli"
"Generate","Muodosta"
"Generation Settings","Muodostusasetukset"
"Google Sitemap","Google sivukartta"
"Hourly","Tunneittain"
"ID","Tunniste"
"Last Time Generated","Muodostettu viimeksi"
"Link for Google","Linkki Googlea varten"
"Monthly","Kuukausittain"
"Never","Ei koskaan"
"New Sitemap","Uusi sivukartta"
"Path","Polku"
"Please create the specified folder ""%s"" before saving the sitemap.","Lisää kansio ""%s"" ennenkuin tallennat sivukartan."
"Please define correct path","Määritä polku"
"Please make sure that ""%s"" is writable by web-server.","Varmista että hakemistoon ""%s"" on kirjoitusoikeudet."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Käytä tiedostonimessä vain kirjaimia (a-z or A-Z), numeroita (0-9) tai alaviivaa (_). Välilyönnit tai muut merkit eivät ole sallittuja."
"Priority","Tärkeys"
"Products Options","Tuotteet"
"Sitemap","Sivukartta"
"Sitemap generate Warnings","Sivukartan luontivaroitukset"
"Start Time","Aloitusaika"
"Store View","Kauppanäkymä"
"The priority must be between 0 and 1.","Tärkeys täytyy olla välillä 0 ja 1."
"The sitemap ""%s"" has been generated.","Sivukartta ""%s"" on muodostettu."
"The sitemap has been deleted.","Sivukartta on poistettu."
"The sitemap has been saved.","Sivukartta on tallennettu."
"This sitemap no longer exists.","Sivukarttaa ei enää ole."
"Unable to find a sitemap to delete.","Poistettavaa sivukarttaa ei löydy."
"Unable to find a sitemap to generate.","Muodostettavaa sivukarttaa ei löydy."
"Unable to generate the sitemap.","Sivukarttaa ei voi muodostaa."
"Valid values range: from 0.0 to 1.0.","Sallitut arvot välillä 0.0-1.0."
"Weekly","Viikoittain"
"Yearly","Vuosittain"
"Blog Post Options","Blogin viestiasetukset"
"Valid values range from 0.0 to 1.0","Sallitut arvot välillä 0.0 - 1.0"
