"# of Uses","Käyttökerrat"
"%s tag(s) have been accepted for moderation.","%s asiasanaa on lähetetty tarkastettavaksi."
"%s tag(s) have been accepted for moderation.","%s asiasanaa on lähetetty tarkastettavaksi."
"<strong>Tag Name:</strong> %s","<strong>Asiasanan nimi:</strong> %s"
"Action","Toiminto"
"Add","Lisää"
"Add New Tag","Lisää uusi asiasana"
"Add Tags","Lisää asiasanat"
"Add Your Tags:","Lisää asiasanoja:"
"Add tag(s) to product","Lisää asiasanoja tuotteelle"
"Add to Cart","Lisää ostoskoriin"
"Add to Wishlist","Lisää kauppalistaan"
"All Tags","Kaikki asiasanat"
"Approved","Hyväksytty"
"Are you sure you want to delete this tag?","Poistetaanko tämä asiasana?"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure?","Vahvista toiminnon suorittaminen"
"Back","Takaisin"
"Back to Tags List","Takaisin asiasanaluetteloon"
"Base Popularity","Perussuosio"
"Block Information","Sisältölohkon tiedot"
"CSV","CSV"
"Catalog Product View","Luettelon tuotenäkymä"
"Change status","Muuta tila"
"Click on a tag to view your corresponding products.","Valitsemalla asiasanan näet merkitsemäsi vastaavat tuotteet."
"Country","Maa"
"Customer My Account My Tags List","Asiakkaan oman tilin asiasanaluettelo"
"Customer My Account Tag View","Asiakkaan oman tilin asiasananäkymä"
"Customer Since","Asiakkaana alkaen"
"Customers","Asiakkaat"
"Customers Submitted this Tag","Tämän asiasanan lisänneet asiakkaat"
"Customers Tagged '%s'","Asiasanan '%s' lisänneet asiakkaat"
"Delete","Poista"
"Delete Tag","Poista asiasana"
"Disabled","Pois käytöstä"
"Edit Tag '%s'","Muokkaa asiasanaa '%s'"
"Email","Sähköposti"
"First Name","Etunimi"
"General Information","Yleistiedot"
"Grid","Taulukko"
"ID","Tunniste"
"Info","Tiedot"
"Last Name","Sukunimi"
"List","Luettelo"
"Manage Tags","Asiasanat"
"My Recent Tags","Äskettäiset asiasanani"
"My Tags","Omat asiasanat"
"Name","Nimi"
"New Tag","Uusi asiasana"
"No matches found.","Yhtään osumaa ei löydy."
"Other people marked this product with these tags:","Toiset asiakkaat ovat merkinneet tämän tuotteen näillä asiasanoilla:"
"Pending","Odottaa"
"Pending Tags","Hyväksyntää odottavat asiasanat"
"Popular","Suositut"
"Popular Tags","Suositut asiasanat"
"Price","Hinta"
"Product Name","Tuotteen nimi"
"Product SKU","Tuotenumero"
"Product Tag API","Tuotteen asiasana API"
"Product Tags","Tuotteiden asiasanat"
"Products","Tuotteet"
"Products Tagged by Administrators","Tuotteet joihin ylläpitäjät ovat lisänneet asiasanoja"
"Products Tagged by Customers","Tuotteet joihin asiakkaat ovat lisänneet asiasanoja"
"Products Tagged with '%s'","Asiasanalla '%s' merkityt tuotteet"
"Products tagged with '%s'","Asiasanalla '%s' merkityt tuotteet"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"Remove","Poista"
"Remove product tag","Poista tuotteen asiasana"
"Retrieve list of tags by product","Nouda tuotteen asiasanat"
"Retrieve product tag info","Nouda tuotteen asiasanatieto"
"SKU","Tuotenumero"
"Save Tag","Tallenna asiasana"
"Save and Continue Edit","Tallenna ja jatka muokkausta"
"Status","Tila"
"Store View","Kauppanäkymä"
"Tag","Asiasana"
"Tag ""%s"" has already been added to the product.","Asiasana ""%s"" on jo lisätty tuotteeseen."
"Tag ""%s"" has been added to the product.","Asiasana ""%s"" on lisätty tuotteeseen."
"Tag ""%s"" has been rejected by administrator.","Kauppias on hylännyt asiasanan ""%s""."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Asiasanan nimi"
"Tagged Products List","Asiasanan sisältävien tuotteiden luettelo"
"Tags","Asiasanat"
"Tags List (All Available)","Asiasanaluettelo (kaikki käytettävissä olevat)"
"Tags List Before","Asiasanaluettelo ennen"
"Tags:","Asiasanat:"
"Telephone","Puhelin"
"The tag has been deleted.","Asiasana on poistettu."
"There are no tags available.","Asiasanoja ei ole saatavilla."
"Unable to find any products tagged with '%s' in the current store","Verkkokaupassa ei ole asiasanalla '%s' merkittyjä tuotteita."
"Unable to remove tag. Please, try again later.","Asiasanaa ei voi poistaa. Yritä myöhemmin uudestaan."
"Unable to save tag(s).","Asiasanoja ei voi tallentaa."
"Update","Päivitä"
"Update product tag","Päivitä tuotteen asiasana"
"Use spaces to separate tags. Use single quotes (') for phrases.","Erota asiasanat välilyönneillä. Kirjoita lauseet heittomerkkien ( ' ) sisään."
"View All Tags","Näytä kaikki asiasanat"
"View Customers","Näytä asiakkaat"
"View Products","Näytä tuotteet"
"XML","XML"
"You have not tagged any products yet.","Asiasanoja ei ole."
"ZIP/Post Code","Postinumero"
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
