" was not delivered nor scanned"," ei ole toimitettu eikä skannattu"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","''''Tilauskohtainen'''' tarkoittaa yhtä käsittelymaksua koko tilaukselle. ''''Pakettikohtainen'''' tarkoittaa yksilöllistä käsittelymaksua jokaiselle paketille. "
"1 Day Freight","1 päivän toimitus"
"2 Day","2 päivää"
"2 Day AM","2 päivää aamu"
"2 Day Freight","2 päivän toimitus"
"2Day","2 päivää"
"2nd Day Air","Toisena päivänä, Ilmakuljetus"
"2nd Day Air AM","Toisena päivänä, Ilmakuljetus aamu"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 päivän toimitus"
"3 Day Select","3 Day Select"
"Access ID","Yhteys tunniste"
"Access License Number","Yhteys lisenssi numero"
"Account ID","Tilin tunniste"
"Account Number","Tilin numero"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Adult","Aikuinen"
"Adult Signature Required","Aikuisen allekirjoitus vaaditaan"
"Allowed Methods","Sallitut tavat"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Sallii koko tilauksen painon jakamisen pienempiin eriin jos tilaus ylittää %s %s. Näin varmistetaan toimituskulujen laskeminen oikein."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Sallii koko tilauksen painon jakamisen pienempiin eriin jos tilaus ylittää 70 kg. Näin varmistetaan toimituskulujen laskeminen oikein."
"Bound Printed Matter","Bound Printed Matter"
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Laske käsittelymaksu"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Tuotteen %s mittayksikköä ei tunnisteta."
"Cannot identify weight unit for %s","Tuotteen %s painoyksikköä ei tunnisteta."
"Cannot retrieve shipping rates","Toimitusmaksua ei voida hakea"
"Centimeters","Senttimetrit"
"Commercial","Kaupallinen"
"Configuration","Asetukset"
"Container","Pakkaustyyppi"
"Content Type","Sisällön tyyppi"
"Customer Packaging","Customer Packaging"
"Customer Supplied Package","Customer Supplied Package"
"Customer services","Asiakaspalvelut"
"DHL","DHL"
"DHL (Deprecated)","DHL (Deprecated)"
"DHL service is not available at %s date","DHL palvelu ei ole käytettävissä %s päivänä"
"Debug","Virheiden haku (debug)"
"Default Package Height","Paketin oletuskorkeus"
"Default Package Length","Paketin oletuspituus"
"Default Package Width","Paketin oletusleveys"
"Delivered","Toimitettu"
"Delivery Confirmation","Toimituksen vahvistus"
"Depth","Syvyys"
"Destination Type","Kohteen tyyppi"
"Destination facility code is empty","Destination facility code is empty"
"Development","Kehitys"
"Direct","Suora"
"Displayed Error Message","Näytettävä viesti kun toimitustapa ei ole saatavilla"
"Divide Order Weight","Jaa tilauksen paino"
"Documents","Dokumentit"
"Domestic Shipment Days","Kotimaan toimituspäivät"
"Domestic economy select","Domestic economy select"
"Domestic express","Kotimaa express"
"Drop Box","Pudotuslaatikko"
"Dropoff","Pudotetaan"
"Easy shop","Easy shop"
"Economy select","Economy select"
"Empty response","Ei vastausta"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled for Checkout","Ota käyttöön"
"Enables/Disables SSL verification of Magento server by UPS.","Enables/Disables SSL verification of Magento server by UPS."
"Error #%s : %s","Virhe %s :  %s"
"Error #%s : %s (%s)","Virhe %s : %s (%s)"
"Error #%s: %s","Virhe %s: %s"
"Europack","Europack"
"Europe First Priority","Europe First Priority"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Vaihtokurssia %s (perusvaluutta) -> %s ei löydy. DHL-kuljetustapa %s ohitetaan"
"Express","Express"
"Express 10:30","Express 10:30"
"Express 10:30 AM","Express 10:30"
"Express 12:00","Express 12:00"
"Express 9:00","Express 9:00"
"Express Mail","Express Mail"
"Express Saturday","Express lauantaijakelu"
"Express Saver","Express Saver"
"Express easy","Express easy"
"Express envelope","Express envelope"
"Express worldwide","Express worldwide"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg laatikko"
"FedEx 25kg Box","FedEx 25kg laatikko"
"FedEx Box","FedEx laatikko"
"FedEx Envelope","FedEx kuori"
"FedEx Pak","FedEx paketti"
"FedEx Tube","FedEx tuubi"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"First Overnight","Yön yli"
"Flat","Kiinteä"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free Method","Ilmainen toimitus"
"Free Shipping with Minimum Order Amount","Ilmaisen toimituksen tilauksen vähimmäissumma"
"Freight","Freight"
"Freight worldwide","Freight worldwide"
"Gateway URL","Yhdyskäytävän URL-osoite"
"Gateway XML URL","Yhdyskäytävän XML URL-osoite"
"Gift","Lahja"
"Girth","Ympärysmitta"
"Globalmail business","Globalmail business"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Ground","Pohjusta"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Käsitelty tapa"
"Handling Fee","Käsittelymaksu"
"Height","Korkeus"
"Height, width and length should be equal or greater than %s","Korkeus, leveys ja pituus täytyy olla sama tai suurempi kuin %s"
"Home Delivery","Kotiinkuljetus"
"Hub ID","Hub ID"
"Inches","Tuumat"
"Indirect","Indirect"
"International Economy","Kansainvälinen 2-luokka"
"International Express","Kansainvälinen pikatoimitus (Express)"
"International First","Kansainvälinen 1-luokka (?)"
"International Ground","International Ground"
"International Priority","Kansainvälinen 1-luokka"
"International Shipment Days","Kansainväliset toimituspäivät"
"Intl Economy Freight","Kansainvälinen rahtimaksu 2-luokka"
"Intl Priority Freight","Kansaivälinen rahtimaksu 1-luokka"
"Jetline","Jetline"
"Jumbo box","Jumbo box"
"Key","Avain"
"Kilograms","Kilogrammat"
"Large","Suuri"
"Large Express Box","Large Express Box"
"Length","Pituus"
"Letter","Kirje"
"Library Mail","Library Mail"
"Live","Live"
"Machinable","Koneellinen"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Suurin sallittu paketin paino (Ota yhteyttä kuljetusyritykseen saadaksesi tarkempaa tietoa)"
"Media Mail","Media Mail"
"Medical express","Medical express"
"Medium Express Box","Medium Express Box"
"Merchandise","Merchandise"
"Meter Number","Meter Number"
"Minimum Order Amount for Free Shipping","Pienin tilaus ilmaiselle toimitukselle"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Pienin sallittu paketin paino (Ota yhteyttä kuljetusyritykseen saadaksesi tarkempaa tietoa)"
"Mode","Tila"
"National Freight","National Freight"
"Next Afternoon","Seuraavana päivänä"
"Next Day Air","Seuraava päivä, ilmakuljetus"
"Next Day Air Early AM","Seuraava päivä, ilmakuljetus, aikainen aamu"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Ei"
"No packages for request","No packages for request"
"Non Documents","Non Documents"
"Non documents","Non documents"
"Non-rectangular","Ei suorakaiteen muotoinen"
"None","Ei mitään"
"Not Required","Ei vaadita"
"Order","Tilaus"
"Order #%s","Tilaus %s"
"Origin of the Shipment","Toimituksen lähtöpaikka"
"Origin serviceAreaCode is missing","Origin serviceAreaCode is missing"
"Other","Muu"
"Others","Muut"
"PAK","PAK"
"Package","Paketti"
"Package Description","Paketin kuvaus"
"Package content is missing","Paketin sisältö puuttuu."
"Packages Request Type","Packages Request Type"
"Packaging","Paketoinnissa"
"Pallet","Pallet"
"Parcel","Kolli"
"Parcel Post","Kollina"
"Password","Salasana"
"Pickup Method","Noutotapa"
"Piece Id barcode is missing","Piece Id barcode is missing"
"Piece number information is missing","Piece number information is missing"
"Please make sure to use only digits here. No dashes are allowed.","Käytä vain numeroita. Ajatusviivat eivät ole sallittuja."
"Please, specify origin country","Määrittele lähtömaa"
"Pounds","Paunat"
"Priority Mail","1. luokka"
"Priority Mail Express","Priority Mail Express"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate Envelope"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate Envelope Hold For Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate Envelope"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate Envelope Hold For Pickup"
"Priority Mail Hold For Pickup","Priority Mail Hold For Pickup"
"Priority Mail International","Priority Mail International"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate Envelope"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate Envelope"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box Hold For Pickup"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate Envelope"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate Envelope Hold For Pickup"
