"All Websites","Kaikki sivustot"
"Apply Discounts To FPT","Apply Discounts To FPT"
"Apply Tax To FPT","Apply Tax To FPT"
"Display Prices In Emails","Näytä hinnat sähköposteissa"
"Display Prices In Product Lists","Näytä hinnat tuoteluetteloissa"
"Display Prices In Sales Modules","Näytä hinnat myyntimoduuleissa"
"Display Prices On Product View Page","Näytä hinnat tuotenäkymäsivulla"
"Enable FPT","Ota käyttöön kiinteä tuotevero"
"Excluding FPT","Ilman kiinteää tuoteveroa"
"Excluding FPT, FPT description, final price","Ilman kiinteää tuoteveroa, sen kuvausta ja lopullista hintaa"
"Fixed Product Tax","Kiinteä tuotevero"
"Fixed Product Taxes","Kiinteät tuoteverot"
"Include FPT In Subtotal","Sisällytä kiinteä tuotevero välisummaan"
"Including FPT and FPT description","Sisältäen kiinteän tuoteveron ja sen kuvauksen"
"Including FPT and FPT description [incl. FPT VAT]","Sisältäen kiinteän tuoteveron ja sen kuvauksen [sis. kiinteän tuoteveron alv:n]"
"Including FPT only","Sisältäen vain kiinteän tuoteveron"
"Total","Yhteensä"
"Total Incl. Tax","Yhteensä verollinen"
"Total excl. tax","Yhteensä veroton"
"Total incl. tax","Yhteensä verollinen"
