"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s on lisätty kauppalistaan. Paina <a href=""%2$s"">TÄSTÄ</a> jatkaaksesi ostoksia."
"%1$s has been updated in your wishlist.","%1$s on päivitetty kauppalistaan."
"%d product(s) have been added to shopping cart: %s.","%d tuotetta on lisätty ostoskoriin: %s."
"%s for ""%s"".","%s kohteelle"" %s""."
"%s has been moved to wishlist %s","%s on siirretty %s -kauppalistaan"
"%s's Wishlist","Asiakkaan %s kauppalista"
"* Required Fields","* pakollinen"
"Add All to Cart","Lisää kaikki ostoskoriin"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää kauppalistaan"
"Added From","Lisätty kohteesta"
"An error occurred while adding item to wishlist.","Lisättäessä tuotetta kauppalistaan tapahtui virhe."
"An error occurred while adding item to wishlist: %s","Lisättäessä tuotetta kauppalistaan tapahtui virhe: %s"
"An error occurred while deleting the item from wishlist.","Poistettaessa tuotetta kauppalistalta tapahtui virhe."
"An error occurred while deleting the item from wishlist: %s","Poistettaessa tuotetta kauppalistalta tapahtui virhe: %s."
"An error occurred while updating wishlist.","Kauppalistaa päivitettäessä tapahtui virhe."
"Are you sure you want to remove this product from your wishlist?","Varmista tuotteen poistaminen kauppalistalta"
"Are you sure you would like to remove this item from the wishlist?","Varmista tuotteen poistaminen kauppalistalta"
"Back","Takaisin"
"Can't delete item from wishlist","Tuotetta ei voi poistaa kauppalistalta."
"Can't save description %s","Kuvausta %s ei voi tallentaa."
"Can't update wishlist","Kauppalistaa ei voi päivittää."
"Cannot add item to shopping cart","Tuotetta ei voi lisätä ostoskoriin."
"Cannot add the item to shopping cart.","Tuotetta ei voi lisätä ostoskoriin."
"Cannot configure product","Tuotetta ei voi muuttaa."
"Cannot load wishlist item","Kauppalistan tuotetta ei voi noutaa."
"Cannot move item to wishlist","Tuotetta ei voi siirtää kauppalistalle."
"Cannot specify product.","Tuotetta ei voi määritellä."
"Cannot specify wishlist item.","Kauppalistan tuotetta ei voi määritellä."
"Cannot specify wishlist.","Kauppalistaa ei voi määritellä."
"Cannot update wishlist","Kauppalistaa ei voi päivittää."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Laita rasti ruutuun jos haluat lisätä linkin kauppalistan RSS-syötteeseen."
"Click for price","Klikkaa hinta näkyviin"
"Comment","Kommentti"
"Comment:","Kommentti:"
"Configure Wishlist Item","Muokkaa kauppalistan tuotetta"
"Configured Price:","Muokattu hinta:"
"Could not find wishlist","Kauppalistaa ei löydy."
"Customer My Account My Wishlist","Asiakkaan oman tilin kauppalista"
"Customer My Account Wishlist Sharing Form","Asiakkaan oman tilin kauppalistan jakamislomake"
"Customer Shared Wishlist View","Asiakkaan jaettu kauppalistanäkymä"
"Date Added","Lisätty"
"Days in Wishlist","Päiviä kauppalistalla"
"Display Wishlist Summary","Näytä kauppalistan yhteenveto"
"Edit","Muokkaa"
"Email Sender","Sähköpostin lähettäjä"
"Email Template","Sähköpostin pohja"
"Email address can't be empty.","Sähköpostiosoite ei voi olla tyhjä."
"Email addresses, separated by commas","Sähköpostiosoitteet pilkuilla erotettuna"
"Enabled","Käytössä"
"General Options","Yleiset asetukset"
"Go to Wishlist","Siirry kauppalistaan"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","Varastossa"
"Last Added Items","Viimeksi lisätyt"
"Message","Viesti"
"My Wishlist","Kauppalista"
"My Wishlist (%d item)","Kauppalista (%d tuote)"
"My Wishlist (%d items)","Kauppalista (%d tuotetta)"
"My Wishlist <small>(%d)</small>","Kauppalista <small>(%d)</small>"
"My Wishlist Link","Kauppalistan linkki"
"Options Details","Asetusten lisätiedot"
"Out of stock","Ei ole varastossa"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lisää sähköpostiosoitteita pilkuilla eroteltuna. Esimerkiksi matti.meikalainen@osoite.fi, maijameikalainen@osoite.fi."
"Please input a valid email address.","Lisää sähköpostiosoite."
"Please, enter your comments...","Lisää omia muistiinpanoja ja paina Päivitä kauppalista..."
"Product","Tuote"
"Product Details and Comment","Tuotteen lyhyt kuvaus ja omat muistiinpanot"
"Product(s) %s have required options. Each of them can be added to cart separately only.","%s tuotteella on pakollisia valintoja. Ne voidaan lisätä ostoskoriin vain yksitellen."
"RSS Feed","RSS-syöte"
"RSS link to %s's wishlist","RSS-linkki asiakkaan %s kauppalistaan"
"Remove Item","Poista tuote"
"Remove This Item","Poista tämä tuote"
"Remove item","Poista tuote"
"Requested cart item doesn't exist","Pyydettyä ostoskorin tuotetta ei ole."
"Requested wishlist doesn't exist","Pyydettyä kauppalistaa ei ole."
"Share Options","Jakamisen asetukset"
"Share Wishlist","Jaa kauppalista"
"Share Your Wishlist","Jaa kauppalista"
"Sharing Information","Jakamistiedot"
"This Wishlist has no Items","Kauppalista on tyhjä."
"This product(s) is currently out of stock","Tuotteet ovat tällä hetkellä loppu varastosta."
"Unable to add the following product(s) to shopping cart: %s.","Seuraavia tuotteita ei voi lisätä ostoskoriin: %s"
"Update Wishlist","Päivitä kauppalista"
"User Description","Käyttäjän kuvaus"
"View Details","Näytä lisätiedot"
"View Product","Näytä tuote"
"What's this?","Mikä tämä on?"
"Wishlist","Kauppalista"
"Wishlist Section","Kauppalista -osio"
"Wishlist Sharing","Kauppalistan jakamien"
"Wishlist could not be created.","Kauppalistaa ei voi lisätä."
"Wishlist is empty now.","Kauppalista on nyt tyhjä."
"You have no items in your wishlist.","Kauppalista on tyhjä."
"Your Wishlist has been shared.","Kauppalista on lähetetty sähköpostiin."
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s on lisätty kauppalistaan. Paina <a href=""%2$s"">TÄSTÄ</a> jatkaaksesi ostoksia."
"Added On","Lisätty"
"Cannot create wishlist.","Kauppalistaa ei voi lisätä."
