"Costs for inland shipping","Kotimaantoimitusten hinnat"
"Costs for shipping to foreign countries","Ulkomaantoimitusten hinnat"
"Custom text for checkout page","Viesti maksusivulle"
"Cash on Delivery","Maksu toimitettaessa"
"Cash on Delivery fee","Maksu toimitettaessa -hinta"
"Cost calculation","Hinnan laskentatapa"
"You will be charged an extra fee of %s.","Sinulta veloitetaan lisämaksu %s."
"Incl. Tax","Verollinen"
"Cash on Delivery fee (Excl.Tax)","Maksu toimitettaessa -hinta (veroton)"
"Cash on Delivery fee (Incl.Tax)","Maksu toimitettaessa -hinta (verollinen)"
"Cash on Delivery fee %s","Maksu toimitettaessa -hinta %s"
"Refund Cash on Delivery fee","Maksu toimitettaessa -hinnan hyvitys"
"Cash On Delivery","Maksu toimitettaessa"
"Cash on Delivery fee","Maksu toimitettaessa -hinta"
"Disallow specific shipping methods","Estä määrätyt toimitustavat"
"Disallowed shipping methods","Estetyt toimitustavat"
"Display Zero Fee","Näytä nollahinta"
"New order status","Uuden tilauksen tila"
"Shipment to applicable countries","Toimitetaan seuraaviin maihin"
"Shipment to Specific countries","Toimitetaan vain seuraaviin maihin"
"Sort order","Järjestys"
