"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Kaikki luottokortit / Visa, Mastercard, AMEX, JCB, Diners (Moneybooker) - Kansainvälinen"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (Moneybookers) - Italia"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleye (Moneybookers) - Ranska"
"Customer ID","Asiakkaan tunniste"
"Dankort (powered by Moneybookers) - Denmark","Dankort (Moneybooker) - Tanska"
"EPS Online-√úberweisung (powered by Moneybookers) - Austria","EPS Online-√úberweisung (powered by Moneybookers) - Austria"
"Enabled","Käytössä"
"Find out more about Online Bank Transfer","Lue lisää verkkotilisiirrosta"
"Giropay (powered by Moneybookers) - Germany","Giropay (Moneybookers) - Saksa"
"Laser (powered by Moneybookers) - Ireland","Laser (Moneybooker) - Irlanti"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (Moneybooker) - Saksa"
"Loading secure payment page (SSL)","Ladataan varmennettua maksusivua (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (Moneybooker) - Iso-Britannia, Itävalta, Espanja"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers asetukset"
"Moneybookers Transaction ID: %s","Moneybookers maksutapahtuman tunniste: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Lisätietoa Moneybookers-palvelusta"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (Moneybookers) - Suomi"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (Moneybookers) - Ruotsi"
"Online Bank Transfer (powered by Moneybookers)","Verkkotilisiirto (Moneybookers)"
"Order ID","Tilausnumero"
"POLi (powered by Moneybookers) - Australia","POLi (Moneybookers) - Australia"
"Payment failed.","Maksu epäonnistui."
"Payment from Applicable Countries","Maksu sallitaan käytettävissä olevista maista"
"Payment from Specific Countries","Maksu vain seuraavista maista"
"Payment has not been processed yet.","Maksua ei ole vielä käsitelty."
"Payment was canceled.","Maksu peruttiin."
"Pending bank transfer created.","Lisätty odottava tilisiirto."
"Please pay your order now","Maksa tilauksesi nyt"
"Postepay (powered by Moneybookers) - Italy","Postepay (Moneybookers) - Italia"
"Powered by Moneybookers","Palvelun tarjoaa Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (Moneybookers) - Puola"
"Sofort√ºberweisung (powered by Moneybookers) - Germany","Sofort√ºberweisung (Moneybookers) - Saksa"
"Sort Order","Järjestys"
"The amount has been authorized and captured by Moneybookers.","Maksun on varmentanut ja varannut Moneybookers."
"The customer was redirected to Moneybookers.","Asiakas uudelleenohjattiin Moneybookers -palveluun"
"The order has been canceled.","Tilaus on peruttu."
"Title","Nimi"
"You will be redirected to our secure payment page when you place an order.","Sinut uudelleenohjataan  varmennetulle maksusivulle kun teet tilauksen."
"eNETS (powered by Moneybookers) - Singapore","eNETS (Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (Moneybookers) - Hollanti"
