"Delivery Type","Toimitustapa"
"Filter prices based on destination AND weight, price or quantity","Käsittelee hinnat perustuen määränpäähän JA painoon, hintaan tai määrään"
"Free Shipping Display Text","Ilmaisesta toimituksesta näytettävä teksti"
"Free Shipping Promotions","Ilmaiset toimituskampanjat"
"From","Alkaen"
"Include Free Shipping Items in Rate Calculation","Sisällytä ilmaisen toimituksen tuotteet kulujen laskentaan"
"Include Virtual Products in Rate Calculation","Sisällytä virtuaaliset tuotteet kulujen laskentaan"
"Minimum Order Amount For Free Shipping","Pienin tilaus ilmaiselle toimitukselle"
"Only Display Free Shipping","Näytä vain ilmainen toimitus"
"Use Numeric Zipcode Ranges","Käytä numeerisia postinumeroalueita"
"Webshopapps Matrix Rates","Webshopapps Matrix Rates"
"To","Päättyen"
"You should only set this to Yes if you use purely numeric zipcodes (e.g. USA/AUS clients)","Aseta arvoksi Kyllä, jos käytät vain puhtaasti numeerisia postinumeroita (esim. Suomi, USA/AUS asiakkaat)"
"Zip/Postal Code From","Postinumero alkaen"
"Zip/Postal Code To","Postinumero loppuen"
