"Anchor Element","Ankkurielementti"
"Success Page","Onnistunut tilaus -sivu"
"Power Share","Power Share"
"Product Page","Tuotesivu"
"On","Päällä"
"Off","Pois"
"Show Power Share on checkout success page","Näytä Power Share onnistuneen tilauksen jälkeen"
"The Zizio Power Share controls will appear in Product Pages and in the Checkout Success page (when a customer successfuly checks out). Below you can enable or disable the controls, specify the text that appears in the Share button and tweak the location of the controls in your pages, by specifying an ""Anchor element"" in your page.","Zizio Power Share painikkeet ilmestyvät tuotesivuille ja onnistuneen tilauksen jälkeen. Asetuksissa voit kytkeä päälle tai pois painikkeita, määritellä tekstin joka näkyy jakopainikkeessa ja valita painikkeiden sijainnin sivulla kohdassa ""Ankkurielementti""."
"Show Power Share on catalog product page","Näytä Power Share luettelon tuotesivulla"
"Custom Power Share Bars","Mukaillut Power Share painikkeet"
"Share Button Caption","Jakopainikkeen teksti"
"Position Relative to Anchor","Sijainti suhteessa ankkuriin"
"Bottom","Alhaalla"
"Before","Ennen"
"Top","Ylhäällä"
"After","Jälkeen"
"Line Break","Rivinaihto"
"Same Line","Sama rivi"
"Separate Line","Erillinen rivi"
"Show and Arrange","Näkymä jä järjestys"
"Uncheck to hide, Drag'n'Drop to re-arrange","Valinnan poistaminen piilottaa, vedä ja pudota järjestää"
"Add Bar","Lisää painikevalikko"
"Remove Bar","Poista painikevalikko"
"Show Power Share on checkout success page","Näytä Power Share onnistuneen tilauksen jälkeen"
"Positioning","Sijainti"
"CSS Selector for the HTML element to position by (e.g. "".product-shop"")","CSS Selector for the HTML element to position by (e.g. "".product-shop"")"
"Additional Management","Lisäasetukset"
"Attach to Zizio Account","Liitä Zizio-tiliin"
"Attach this store to your Zizio Account to recieve in-depth SHARE statistics and tools","Liitä tämä kauppa Zizio-tiliisi saadaksesi jakamisesta tarkempaa tilastotietoa ja muita työkaluja"
"Power Share Incentives Management","Power Share edut"
"End","Päättyen"
"Click Here!","Paina tästä!"
"Additional Management","Lisäasetukset"
"Save Item","Tallenna kohde"
"Create New Incentive","Lisää uusi etu"
"Incentive Configuration","Etujen asetukset"
"Products Selection","Tuotteiden valinta"
"Enabled for all Products","Kaikki tuotteet"
"Categories Selection","Luokkien valinta"
"Enabled for all Categories","Kaikki luokat"
"Availability","Saatavuus"
"Incentive Availability","Etujen saatavuus"
"End Date","Päättymispäivä"
"Select incentive title for admin and reporting reference (e.g. <b>Share 15% Off</b>)","Valitse edun otsikko ylläpidolle ja raportteihin (esim. <b>Jakaen 15% pois</b>)"
"Shoppers' task","Asiakkaan tehtävä"
"Coupon code","Kupongin koodi"
"Button caption","Painikkeen teksti"
"Dialog title","Edun otsikko"
"Dialog footnote action","Edun teksti painikkeen vieressä"
"Success message","Teksti onnistuneesta jakamisesta"
"Shared item teasing line","Jaetun kohteen lisäteksti"
"Shared item watermark","Jaettavaan tuotteen kuvaan lisättävä vesileima"
"Learn more","Lue lisää..."
"Incentive description (e.g. <b>15% Off!</b>)","Edun kuvaus (esim. <b>15% pois!</b>)"
"Select shoppers' task","Valitse asiakkaan tehtävä"
"Post to Facebook wall","Lähetä Facebook seinälle"
"A coupon can be configured in <b>Promotions -&gt; Shopping Cart Price Rules</b>","Kuponki määritellään kohdassa <b>Kampanjat -&gt; Ostoskorin hintasäännöt</b>"
"Incentive description (e.g. <b>15% Off!</b>)","Edun kuvaus (esim. <b>15% pois!</b>)"
"Share dialog <i>title</i> call-for-action (e.g. <b>Share 15% Off with your friends</b>)","Jaettavaan etuun <i>kannustava</i> (esim. <b>Jakaen 15% pois ystävien kanssa</b>"
"Share dialog <i>footnote</i> call-for-action (e.g. <b>Share this offering and get yours</b>)","Jaettavan edun <i>vihje</i> (esim. <b>Jaa tämä tarjous ja hyödy</b>"
"Share dialog <i>success</i> call-for-action description","<i>Onnistuneen</i> jakamisen jälkeinen teksti"
"Incentive description as appears in shared content","Lisäteksti joka ilmestyy jaettuun sisältöön"
"Special Offer","Erikoistarjous"
"None","Ei mitään"
"SALE!","ALE!"
"Deal","Deal"
"Product image watermark for shared content","Jaetun tuotteen kuvaan ilmestyvä vesileima "
"Incentive Configuration","Etujen asetukset"

